Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term (Y),Interest_Type,Interest,APRC,Mortgage_Loan_Amt,Mortgage_Down_Payment,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Fixed_Rate_Term,Source
 2018-04-24,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,_YMF,2 Year Fixed Rate,5000.0,Offline,,Variable,1.94%,4.2%,,40%,Existing Customers ,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-04-24,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,_YMF,2 Year Fixed Rate,5000.0,Offline,,Variable,1.94%,4.2%,,30%,Existing Customers ,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-04-24,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,_YMF,2 Year Fixed Rate,5000.0,Offline,,Variable,1.94%,4.2%,,25%,Existing Customers ,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-04-24,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,_YMF,2 Year Fixed Rate,5000.0,Offline,,Variable,2.24%,4.3%,,20%,Existing Customers ,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-04-24,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,_YMF,2 Year Fixed Rate,5000.0,Offline,,Variable,2.24%,4.4%,,15%,Existing Customers ,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-04-24,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,_YMF,2 Year Fixed Rate,5000.0,Offline,,Variable,2.64%,4.5%,,10%,Existing Customers ,Primary Residence,Principal + Interest,2.0,Bank Website
 2018-04-24,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,_YMF,3 Year Fixed Rate,5000.0,Offline,,Variable,2.14%,3.9%,,40%,Existing Customers ,Primary Residence,Principal + Interest,3.0,Bank Website
 2018-04-24,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,_YMF,3 Year Fixed Rate,5000.0,Offline,,Variable,2.14%,4.0%,,30%,Existing Customers ,Primary Residence,Principal + Interest,3.0,Bank Website
 2018-04-24,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,_YMF,3 Year Fixed Rate,5000.0,Offline,,Variable,2.14%,4.0%,,25%,Existing Customers ,Primary Residence,Principal + Interest,3.0,Bank Website
 2018-04-24,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,_YMF,3 Year Fixed Rate,5000.0,Offline,,Variable,2.44%,4.2%,,20%,Existing Customers ,Primary Residence,Principal + Interest,3.0,Bank Website
