Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote (Price),source
DDD,3D Systems Corporation,12.66,$1.45B,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ddd,AMEX
MMM,3M Company,198.37,$115.51B,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/mmm,AMEX
WBAI,500.com Limited,7.9,$335.64M,2013,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/wbai,AMEX
WUBA,58.com Inc.,58.89,$8.69B,2013,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/wuba,AMEX
EGHT,8x8 Inc,18.26,$1.74B,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/eght,AMEX
AHC,A.H. Belo Corporation,4.54,$98.26M,n/a,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/ahc,AMEX
ATEN,"A10 Networks, Inc.",6.15,$453.86M,2014,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/aten,AMEX
AAC,"AAC Holdings, Inc.",2.44,$60.03M,2014,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/aac,AMEX
AIR,AAR Corp.,46.88,$1.64B,n/a,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/air,AMEX
AAN,"Aaron&#39;s,  Inc.",49.74,$3.61B,n/a,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/aan,AMEX
ABB,ABB Ltd,19.7,$42B,n/a,Consumer Durables,Electrical Products,https://www.nasdaq.com/symbol/abb,AMEX
ABT,Abbott Laboratories,69.49,$122.05B,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abt,AMEX
ABBV,AbbVie Inc.,88.22,$132.7B,2012,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abbv,AMEX
ANF,Abercrombie & Fitch Company,18.37,$1.23B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/anf,AMEX
AGD,Aberdeen Global Dynamic Dividend Fund,9.36,$117.46M,2006,n/a,n/a,https://www.nasdaq.com/symbol/agd,AMEX
AWP,Aberdeen Global Premier Properties Fund,5.57,$475.72M,2007,n/a,n/a,https://www.nasdaq.com/symbol/awp,AMEX
ACP,Aberdeen Income Credit Strategies Fund,12.9227,$168.95M,2011,n/a,n/a,https://www.nasdaq.com/symbol/acp,AMEX
JEQ,"Aberdeen Japan Equity Fund, Inc. ",7.3,$97.74M,1992,n/a,n/a,https://www.nasdaq.com/symbol/jeq,AMEX
AOD,Aberdeen Total Dynamic Dividend Fund,8.09,$870.43M,2007,n/a,n/a,https://www.nasdaq.com/symbol/aod,AMEX
ABM,ABM Industries Incorporated,30.07,$1.98B,n/a,Finance,Diversified Commercial Services,https://www.nasdaq.com/symbol/abm,AMEX
AKR,Acadia Realty Trust,28.68,$2.34B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/akr,AMEX
ACN,Accenture plc,161.45,$103.17B,2001,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/acn,AMEX
ACCO,Acco Brands Corporation,8.21,$843.49M,n/a,Consumer Durables,Publishing,https://www.nasdaq.com/symbol/acco,AMEX
ATV,"Acorn International, Inc.",21.99,$58.94M,2007,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/atv,AMEX
ATU,Actuant Corporation,24.74,$1.51B,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/atu,AMEX
AYI,Acuity Brands Inc,124.55,$5B,n/a,Consumer Durables,Building Products,https://www.nasdaq.com/symbol/ayi,AMEX
GOLF,Acushnet Holdings Corp.,24.97,$1.87B,2016,Consumer Non-Durables,Recreational Products/Toys,https://www.nasdaq.com/symbol/golf,AMEX
ADX,"Adams Diversified Equity Fund, Inc.",15.61,$1.57B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/adx,AMEX
PEO,"Adams Natural Resources Fund, Inc.",17.17,$497.86M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/peo,AMEX
AGRO,Adecoagro S.A.,7.06,$822.88M,2011,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/agro,AMEX
ADNT,Adient plc,24.47,$2.28B,2016,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/adnt,AMEX
ADT,ADT Inc.,7.85,$6.02B,2018,Consumer Services,Diversified Commercial Services,https://www.nasdaq.com/symbol/adt,AMEX
ATGE,Adtalem Global Education Inc.,57.74,$3.39B,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/atge,AMEX
AAP,Advance Auto Parts Inc,184.72,$13.68B,n/a,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/aap,AMEX
ADSW,"Advanced Disposal Services, Inc.",26.31,$2.33B,2016,Public Utilities,Environmental Services,https://www.nasdaq.com/symbol/adsw,AMEX
WMS,"Advanced Drainage Systems, Inc.",26.5,$1.51B,2014,Capital Goods,Containers/Packaging,https://www.nasdaq.com/symbol/wms,AMEX
ASIX,AdvanSix Inc.,26.82,$799.31M,2016,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/asix,AMEX
AVK,Advent Claymore Convertible Securities and Income Fund,14.16,$488.88M,2003,n/a,n/a,https://www.nasdaq.com/symbol/avk,AMEX
ACM,AECOM,31.44,$5.05B,2007,Consumer Services,Military/Government/Technical,https://www.nasdaq.com/symbol/acm,AMEX
AEB,Aegon NV,22.9,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aeb,AMEX
AED,Aegon NV,25.58,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aed,AMEX
AEG,Aegon NV,6.2,$12.67B,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aeg,AMEX
AEH,Aegon NV,25.41,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aeh,AMEX
AER,Aercap Holdings N.V.,51.89,$7.63B,2006,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/aer,AMEX
HIVE,"Aerohive Networks, Inc.",3.94,$218.89M,2014,Technology,EDP Services,https://www.nasdaq.com/symbol/hive,AMEX
AJRD,"Aerojet Rocketdyne Holdings, Inc. ",36.28,$2.84B,n/a,Capital Goods,Military/Government/Technical,https://www.nasdaq.com/symbol/ajrd,AMEX
AET,Aetna Inc.,209.52,$68.6B,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/aet,AMEX
AMG,"Affiliated Managers Group, Inc.",111.38,$5.87B,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/amg,AMEX
AFL,Aflac Incorporated,44.37,$33.78B,n/a,Finance,Accident &Health Insurance,https://www.nasdaq.com/symbol/afl,AMEX
MITT,"AG Mortgage Investment Trust, Inc.",18.26,$524.86M,2011,n/a,n/a,https://www.nasdaq.com/symbol/mitt,AMEX
MITT^A,"AG Mortgage Investment Trust, Inc.",25.39,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/mitt^a,AMEX
MITT^B,"AG Mortgage Investment Trust, Inc.",25.28,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/mitt^b,AMEX
AGCO,AGCO Corporation,57.47,$4.5B,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/agco,AMEX
A,"Agilent Technologies, Inc.",64.34,$20.51B,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/a,AMEX
AEM,Agnico Eagle Mines Limited,33.59,$7.88B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/aem,AMEX
ADC,Agree Realty Corporation,58.69,$2.02B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/adc,AMEX
AL,Air Lease Corporation,38.97,$4.06B,2011,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/al,AMEX
APD,"Air Products and Chemicals, Inc.",158.05,$34.66B,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/apd,AMEX
AYR,Aircastle Limited,19.16,$1.46B,2006,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/ayr,AMEX
AKS,AK Steel Holding Corporation,3.71,$1.17B,n/a,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/aks,AMEX
ALP^Q,Alabama Power Company,24.85,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/alp^q,AMEX
ALG,"Alamo Group, Inc.",86.47,$1.01B,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/alg,AMEX
AGI,Alamos Gold Inc.,3.4,$1.33B,2015,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/agi,AMEX
ALK,"Alaska Air Group, Inc.",67.58,$8.33B,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/alk,AMEX
AIN,Albany International Corporation,73.74,$2.37B,n/a,Basic Industries,Textiles,https://www.nasdaq.com/symbol/ain,AMEX
ALB,Albemarle Corporation,99.2,$10.54B,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/alb,AMEX
AA,Alcoa Corporation,34.72,$6.48B,2016,Basic Industries,Aluminum,https://www.nasdaq.com/symbol/aa,AMEX
ALEX,"Alexander & Baldwin, Inc.",21.39,$1.54B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/alex,AMEX
ALX,"Alexander&#39;s, Inc.",315.9,$1.61B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/alx,AMEX
ARE,"Alexandria Real Estate Equities, Inc.",123.32,$13.26B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/are,AMEX
ARE^D,"Alexandria Real Estate Equities, Inc.",34.266,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/are^d,AMEX
AQN,Algonquin Power & Utilities Corp.,10.54,$4.96B,2016,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/aqn,AMEX
AQNA,Algonquin Power & Utilities Corp.,25.63,n/a,2018,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/aqna,AMEX
BABA,Alibaba Group Holding Limited,146.98,$378.02B,2014,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/baba,AMEX
Y,Alleghany Corporation,620.52,$9.21B,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/y,AMEX
ATI,Allegheny Technologies Incorporated,27.12,$3.41B,n/a,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/ati,AMEX
ALLE,Allegion plc,88.87,$8.45B,2013,Consumer Services,Diversified Commercial Services,https://www.nasdaq.com/symbol/alle,AMEX
AGN,Allergan plc.,162.65,$54.86B,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agn,AMEX
ALE,"Allete, Inc.",78.19,$4.02B,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/ale,AMEX
AKP,Alliance California Municipal Income Fund Inc,13.16,$112.58M,2002,n/a,n/a,https://www.nasdaq.com/symbol/akp,AMEX
ADS,Alliance Data Systems Corporation,205.27,$11.18B,2001,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/ads,AMEX
AFB,Alliance National Municipal Income Fund Inc,11.97,$344.08M,2002,n/a,n/a,https://www.nasdaq.com/symbol/afb,AMEX
AWF,Alliance World Dollar Government Fund II,11.11,$958.01M,1993,n/a,n/a,https://www.nasdaq.com/symbol/awf,AMEX
AB,AllianceBernstein Holding L.P.,30.07,$2.89B,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/ab,AMEX
LNT,Alliant Energy Corporation,45.12,$10.65B,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/lnt,AMEX
CBH,AllianzGI Convertible & Income 2024 Target Term Fund,8.79,$160.48M,2017,n/a,n/a,https://www.nasdaq.com/symbol/cbh,AMEX
NCV,AllianzGI Convertible & Income Fund,6.4,$572.06M,2003,n/a,n/a,https://www.nasdaq.com/symbol/ncv,AMEX
NCV^A,AllianzGI Convertible & Income Fund,24.83,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ncv^a,AMEX
NCZ,AllianzGI Convertible & Income Fund II,5.52,$416.13M,2003,n/a,n/a,https://www.nasdaq.com/symbol/ncz,AMEX
NCZ^A,AllianzGI Convertible & Income Fund II,24.352,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ncz^a,AMEX
ACV,AllianzGI Diversified Income & Convertible Fund,23.05,$237.53M,2015,n/a,n/a,https://www.nasdaq.com/symbol/acv,AMEX
NIE,AllianzGI Equity & Convertible Income Fund,20.51,$568.31M,2007,n/a,n/a,https://www.nasdaq.com/symbol/nie,AMEX
NFJ,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",12.22,$1.16B,2005,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/nfj,AMEX
ALSN,"Allison Transmission Holdings, Inc.",46.54,$6.03B,2012,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/alsn,AMEX
ALL,Allstate Corporation (The),91.38,$31.48B,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/all,AMEX
ALL^A,Allstate Corporation (The),24.905,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^a,AMEX
ALL^B,Allstate Corporation (The),25.04,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^b,AMEX
ALL^D,Allstate Corporation (The),25.64,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^d,AMEX
ALL^E,Allstate Corporation (The),25.45,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^e,AMEX
ALL^F,Allstate Corporation (The),25.78,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^f,AMEX
ALL^G,Allstate Corporation (The),24.88,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^g,AMEX
ALLY,Ally Financial Inc.,25.56,$10.56B,2014,Finance,Major Banks,https://www.nasdaq.com/symbol/ally,AMEX
ALLY^A,Ally Financial Inc.,25.994,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ally^a,AMEX
AYX,"Alteryx, Inc.",56.07,$3.44B,2017,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ayx,AMEX
ATUS,"Altice USA, Inc.",17.81,$12.74B,2017,Consumer Services,Television Services,https://www.nasdaq.com/symbol/atus,AMEX
MO,Altria Group,60,$112.74B,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/mo,AMEX
ACH,Aluminum Corporation of China Limited,9.48,$5.65B,2001,Basic Industries,Aluminum,https://www.nasdaq.com/symbol/ach,AMEX
AMBR,"Amber Road, Inc.",8.85,$245.96M,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ambr,AMEX
ABEV,Ambev S.A.,4.11,$64.61B,2013,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/abev,AMEX
AMC,"AMC Entertainment Holdings, Inc.",15.54,$1.61B,2013,Consumer Services,Movies/Entertainment,https://www.nasdaq.com/symbol/amc,AMEX
AEE,Ameren Corporation,68.83,$16.81B,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/aee,AMEX
AMRC,"Ameresco, Inc.",14.3,$657.46M,2010,Basic Industries,Engineering & Construction,https://www.nasdaq.com/symbol/amrc,AMEX
AMOV,"America Movil, S.A.B. de C.V.",13.36,$44.12B,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/amov,AMEX
AMX,"America Movil, S.A.B. de C.V.",13.54,$44.71B,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/amx,AMEX
AAT,"American Assets Trust, Inc.",39.37,$1.86B,2011,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/aat,AMEX
AXL,"American Axle & Manufacturing Holdings, Inc.",11.58,$1.29B,n/a,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/axl,AMEX
ACC,American Campus Communities Inc,41.34,$5.66B,2004,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/acc,AMEX
AEO,"American Eagle Outfitters, Inc.",21.25,$3.77B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/aeo,AMEX
AEP,"American Electric Power Company, Inc.",76.43,$37.69B,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/aep,AMEX
AEL,American Equity Investment Life Holding Company,34.63,$3.13B,2003,Finance,Life Insurance,https://www.nasdaq.com/symbol/ael,AMEX
AXP,American Express Company,107.86,$92.14B,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/axp,AMEX
AFG,"American Financial Group, Inc.",104.31,$9.31B,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afg,AMEX
AFGE,"American Financial Group, Inc.",25.32,n/a,2014,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afge,AMEX
AFGH,"American Financial Group, Inc.",25.2127,n/a,2015,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afgh,AMEX
AMH,American Homes 4 Rent,20.5,$6.08B,2013,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/amh,AMEX
AMH^D,American Homes 4 Rent,24.33,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/amh^d,AMEX
AMH^E,American Homes 4 Rent,23.65,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/amh^e,AMEX
AMH^F,American Homes 4 Rent,23.2149,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/amh^f,AMEX
AMH^G,American Homes 4 Rent,22.1118,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/amh^g,AMEX
AMH^H,American Homes 4 Rent,23.79,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/amh^h,AMEX
AIG,"American International Group, Inc.",42.16,$37.3B,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/aig,AMEX
AIG.WS,"American International Group, Inc.",n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aig.ws,AMEX
AMID,"American Midstream Partners, LP",5.65,$299.48M,2011,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/amid,AMEX
ARL,"American Realty Investors, Inc.",16.5,$263.95M,n/a,Finance,Real Estate,https://www.nasdaq.com/symbol/arl,AMEX
ARA,"American Renal Associates Holdings, Inc",16.01,$520.6M,2016,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/ara,AMEX
AWR,American States Water Company,64.61,$2.37B,n/a,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/awr,AMEX
AMT,American Tower Corporation (REIT),161.31,$71.06B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/amt,AMEX
AVD,American Vanguard Corporation,16.91,$512.71M,n/a,Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/avd,AMEX
AWK,American Water Works,91.14,$16.46B,2008,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/awk,AMEX
COLD,Americold Realty Trust,25.97,$3.84B,2018,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/cold,AMEX
APU,"AmeriGas Partners, L.P.",34.36,$3.19B,n/a,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/apu,AMEX
AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",126.48,$17.63B,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/amp,AMEX
ABC,AmerisourceBergen Corporation (Holding Co),91.31,$19.76B,n/a,Health Care,Other Pharmaceuticals,https://www.nasdaq.com/symbol/abc,AMEX
ANFI,Amira Nature Foods Ltd,0.5589,$21.19M,2012,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/anfi,AMEX
AMN,AMN Healthcare Services Inc,57.17,$2.68B,n/a,Technology,Professional Services,https://www.nasdaq.com/symbol/amn,AMEX
AMRX,"Amneal Pharmaceuticals, Inc.",19.27,$5.75B,2018,n/a,n/a,https://www.nasdaq.com/symbol/amrx,AMEX
AP,Ampco-Pittsburgh Corporation,4.42,$55.21M,n/a,Capital Goods,Fluid Controls,https://www.nasdaq.com/symbol/ap,AMEX
APH,Amphenol Corporation,87.83,$26.47B,n/a,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/aph,AMEX
AXR,AMREP Corporation,7.3,$59.33M,n/a,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/axr,AMEX
AME,"AMTEK, Inc.",72.81,$16.9B,n/a,Consumer Durables,Metal Fabrications,https://www.nasdaq.com/symbol/ame,AMEX
AFSI^A,"AmTrust Financial Services, Inc.",15.07,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/afsi^a,AMEX
AFSI^B,"AmTrust Financial Services, Inc.",14.98,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/afsi^b,AMEX
AFSI^C,"AmTrust Financial Services, Inc.",16.4519,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/afsi^c,AMEX
AFSI^D,"AmTrust Financial Services, Inc.",16.07,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/afsi^d,AMEX
AFSI^E,"AmTrust Financial Services, Inc.",16.37,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/afsi^e,AMEX
AFSI^F,"AmTrust Financial Services, Inc.",15.05,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/afsi^f,AMEX
AFSS,"AmTrust Financial Services, Inc.",22.91,n/a,2015,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afss,AMEX
AFST,"AmTrust Financial Services, Inc.",23.71,n/a,2015,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afst,AMEX
APC,Anadarko Petroleum Corporation,54.93,$27.7B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/apc,AMEX
PLAN,"Anaplan, Inc.",22.69,n/a,2018,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/plan,AMEX
ANDX,Andeavor Logistics LP,36.86,$9.05B,2011,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/andx,AMEX
AU,AngloGold Ashanti Limited,9.31,$3.83B,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/au,AMEX
BUD,Anheuser-Busch Inbev SA,73.21,$143.24B,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/bud,AMEX
AXE,Anixter International Inc.,67.9,$2.27B,n/a,Consumer Non-Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/axe,AMEX
NLY,Annaly Capital Management Inc,10.02,$13.16B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/nly,AMEX
NLY^C,Annaly Capital Management Inc,25.4348,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nly^c,AMEX
NLY^D,Annaly Capital Management Inc,25.3896,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nly^d,AMEX
NLY^F,Annaly Capital Management Inc,25.34,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nly^f,AMEX
NLY^G,Annaly Capital Management Inc,24.1654,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nly^g,AMEX
NLY^H,Annaly Capital Management Inc,25.77,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nly^h,AMEX
AMGP,Antero Midstream GP LP,14.92,$2.78B,2017,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/amgp,AMEX
AM,Antero Midstream Partners LP,27.83,$5.21B,2014,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/am,AMEX
AR,Antero Resources Corporation,15.27,$4.84B,2013,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ar,AMEX
ANTM,"Anthem, Inc.",280.25,$72.48B,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/antm,AMEX
ANH,Anworth Mortgage Asset  Corporation,4.41,$434.23M,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/anh,AMEX
ANH^A,Anworth Mortgage Asset  Corporation,25.846,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/anh^a,AMEX
ANH^B,Anworth Mortgage Asset  Corporation,24.276,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/anh^b,AMEX
ANH^C,Anworth Mortgage Asset  Corporation,24.75,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/anh^c,AMEX
AON,Aon plc,163.3,$39.33B,n/a,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/aon,AMEX
APA,Apache Corporation,35.24,$13.38B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/apa,AMEX
AIV,Apartment Investment and Management Company,46.04,$7.17B,1994,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/aiv,AMEX
AIV^A,Apartment Investment and Management Company,25.75,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aiv^a,AMEX
APY,Apergy Corporation,36.19,$2.8B,2018,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/apy,AMEX
APHA,Aphria Inc.,10.3,$2.57B,n/a,Consumer Durables,Specialty Chemicals,https://www.nasdaq.com/symbol/apha,AMEX
ARI,Apollo Commercial Real Estate Finance,18.91,$2.53B,2009,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/ari,AMEX
ARI^C,Apollo Commercial Real Estate Finance,24.97,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ari^c,AMEX
APO,"Apollo Global Management, LLC",29.07,$11.89B,2011,Finance,Investment Managers,https://www.nasdaq.com/symbol/apo,AMEX
APO^A,"Apollo Global Management, LLC",24.669,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/apo^a,AMEX
APO^B,"Apollo Global Management, LLC",24.46,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/apo^b,AMEX
AIY,Apollo Investment Corporation,25.2458,n/a,2013,n/a,n/a,https://www.nasdaq.com/symbol/aiy,AMEX
AFT,Apollo Senior Floating Rate Fund Inc.,15.49,$241.23M,2011,n/a,n/a,https://www.nasdaq.com/symbol/aft,AMEX
AIF,Apollo Tactical Income Fund Inc.,15.29,$221.15M,2013,n/a,n/a,https://www.nasdaq.com/symbol/aif,AMEX
APLE,"Apple Hospitality REIT, Inc.",15.94,$3.67B,2015,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/aple,AMEX
AIT,"Applied Industrial Technologies, Inc.",65.46,$2.54B,n/a,Consumer Durables,Industrial Specialties,https://www.nasdaq.com/symbol/ait,AMEX
ATR,"AptarGroup, Inc.",102.38,$6.43B,n/a,Consumer Non-Durables,Plastic Products,https://www.nasdaq.com/symbol/atr,AMEX
APTV,Aptiv PLC,75,$19.76B,2011,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/aptv,AMEX
WTR,"Aqua America, Inc.",33.04,$5.88B,n/a,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/wtr,AMEX
AQ,Aquantia Corp.,10.42,$356.99M,2017,Technology,Semiconductors,https://www.nasdaq.com/symbol/aq,AMEX
WAAS,AquaVenture Holdings Limited,18.79,$502.28M,2016,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/waas,AMEX
ARMK,Aramark,35.44,$8.74B,2013,Consumer Services,Restaurants,https://www.nasdaq.com/symbol/armk,AMEX
