Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote (Price),source
EPR,EPR Properties,70.48,$5.24B,1997,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/epr,AMEX
EPR^C,EPR Properties,29.1561,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/epr^c,AMEX
EPR^E,EPR Properties,35.78,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/epr^e,AMEX
EPR^G,EPR Properties,22.38,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/epr^g,AMEX
EQGP,"EQGP Holdings, LP",16.46,$4.98B,2015,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/eqgp,AMEX
EQM,"EQM Midstream Partners, LP",47.84,$5.76B,2012,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/eqm,AMEX
EQT,EQT Corporation,18.56,$4.73B,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/eqt,AMEX
EFX,"Equifax, Inc.",100.38,$12.1B,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/efx,AMEX
EQNR,Equinor ASA,23.58,$78.49B,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/eqnr,AMEX
ETRN,Equitrans Midstream Corporation,20.89,n/a,2018,n/a,n/a,https://www.nasdaq.com/symbol/etrn,AMEX
EQC,Equity Commonwealth,30.83,$3.75B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/eqc,AMEX
EQC^D,Equity Commonwealth,25.7,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/eqc^d,AMEX
ELS,"Equity Lifestyle Properties, Inc.",97.48,$8.75B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/els,AMEX
EQR,Equity Residential,68.14,$25.11B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/eqr,AMEX
EQS,"Equus Total Return, Inc.",1.8907,$25.56M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/eqs,AMEX
ERA,"Era Group, Inc.",10.84,$235.9M,n/a,Transportation,Transportation Services,https://www.nasdaq.com/symbol/era,AMEX
EROS,Eros International PLC,10.2,$733.87M,2013,Consumer Services,Movies/Entertainment,https://www.nasdaq.com/symbol/eros,AMEX
ESE,ESCO Technologies Inc.,62.86,$1.63B,n/a,Consumer Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/ese,AMEX
ESNT,Essent Group Ltd.,40.57,$3.98B,2013,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/esnt,AMEX
EPRT,"Essential Properties Realty Trust, Inc.",14.11,$617.3M,2018,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/eprt,AMEX
ESS,"Essex Property Trust, Inc.",255.22,$16.86B,1994,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/ess,AMEX
EL,"Estee Lauder Companies, Inc. (The)",143.39,$52.03B,1995,Consumer Non-Durables,Package Goods/Cosmetics,https://www.nasdaq.com/symbol/el,AMEX
ESL,Esterline Technologies Corporation,117.25,$3.45B,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/esl,AMEX
ETH,Ethan Allen Interiors Inc.,19.7,$523.42M,1993,Consumer Durables,Home Furnishings,https://www.nasdaq.com/symbol/eth,AMEX
EURN,Euronav NV,8.2,$1.8B,2015,Transportation,Marine Transportation,https://www.nasdaq.com/symbol/eurn,AMEX
EEA,"European Equity Fund, Inc. (The)",8.42,$66.64M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/eea,AMEX
EB,"Eventbrite, Inc.",28.95,$2.2B,2018,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/eb,AMEX
EVR,Evercore Inc.,80.71,$3.27B,2006,Finance,Investment Managers,https://www.nasdaq.com/symbol/evr,AMEX
RE,"Everest Re Group, Ltd.",214.2,$8.71B,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/re,AMEX
EVRG,"Evergy, Inc.",59.73,$15.74B,2018,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/evrg,AMEX
EVRI,Everi Holdings Inc.,6.34,$445.03M,n/a,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/evri,AMEX
ES,Eversource Energy,65.77,$20.84B,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/es,AMEX
EVTC,"Evertec, Inc.",27.75,$2.02B,2013,Technology,EDP Services,https://www.nasdaq.com/symbol/evtc,AMEX
EVH,"Evolent Health, Inc",24.47,$2.01B,2015,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/evh,AMEX
AQUA,Evoqua Water Technologies Corp.,9.42,$1.07B,2017,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aqua,AMEX
XAN,Exantas Capital Corp.,10.91,$345.42M,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/xan,AMEX
XAN^C,Exantas Capital Corp.,25.22,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/xan^c,AMEX
EXC,Exelon Corporation,45.91,$44.4B,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/exc,AMEX
EXPR,"Express, Inc.",8.92,$654.56M,2010,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/expr,AMEX
EXTN,Exterran Corporation,23.38,$845.26M,2015,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/extn,AMEX
EXR,Extra Space Storage Inc,91.78,$11.61B,2004,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/exr,AMEX
XOM,Exxon Mobil Corporation,78,$330.24B,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/xom,AMEX
FNB,F.N.B. Corporation,12.16,$3.94B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/fnb,AMEX
FNB^E,F.N.B. Corporation,27.6993,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/fnb^e,AMEX
FN,Fabrinet,49.65,$1.83B,2010,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/fn,AMEX
FDS,FactSet Research Systems Inc.,227.57,$8.66B,1996,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/fds,AMEX
FICO,Fair Isaac Corporation,190.77,$5.52B,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/fico,AMEX
SFUN,Fang Holdings Limited,1.77,$787.53M,2010,Technology,EDP Services,https://www.nasdaq.com/symbol/sfun,AMEX
FPAC,Far Point Acquisition Corporation,9.63,$168.59M,2018,Finance,Business Services,https://www.nasdaq.com/symbol/fpac,AMEX
FPAC.U,Far Point Acquisition Corporation,n/a,n/a,2018,n/a,n/a,https://www.nasdaq.com/symbol/fpac.u,AMEX
FPAC.WS,Far Point Acquisition Corporation,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/fpac.ws,AMEX
FTCH,Farfetch Limited,21.75,$6.2B,2018,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/ftch,AMEX
FPI,Farmland Partners Inc.,7.3,$271.9M,2014,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/fpi,AMEX
FPI^B,Farmland Partners Inc.,21.91,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/fpi^b,AMEX
FBK,FB Financial Corporation,38.34,$1.18B,2016,Finance,Major Banks,https://www.nasdaq.com/symbol/fbk,AMEX
FFG,"FBL Financial Group, Inc.",71.57,$1.78B,1996,Finance,Life Insurance,https://www.nasdaq.com/symbol/ffg,AMEX
FCB,"FCB Financial Holdings, Inc.",39.35,$1.84B,2014,Finance,Major Banks,https://www.nasdaq.com/symbol/fcb,AMEX
AGM,Federal Agricultural Mortgage Corporation,71.93,$767.39M,n/a,Finance,Finance Companies,https://www.nasdaq.com/symbol/agm,AMEX
AGM.A,Federal Agricultural Mortgage Corporation,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/agm.a,AMEX
AGM^A,Federal Agricultural Mortgage Corporation,24.94,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/agm^a,AMEX
AGM^B,Federal Agricultural Mortgage Corporation,26.2759,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/agm^b,AMEX
AGM^C,Federal Agricultural Mortgage Corporation,26,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/agm^c,AMEX
FRT,Federal Realty Investment Trust,128.99,$9.53B,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/frt,AMEX
FRT^C,Federal Realty Investment Trust,22.93,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/frt^c,AMEX
FSS,Federal Signal Corporation,23.21,$1.4B,n/a,Capital Goods,Auto Manufacturing,https://www.nasdaq.com/symbol/fss,AMEX
FII,"Federated Investors, Inc.",25.32,$2.54B,1998,Finance,Investment Managers,https://www.nasdaq.com/symbol/fii,AMEX
FMN,Federated Premier Municipal Income Fund,12.45,$143.13M,2002,n/a,n/a,https://www.nasdaq.com/symbol/fmn,AMEX
FDX,FedEx Corporation,222.51,$58.63B,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/fdx,AMEX
RACE,Ferrari N.V.,109.61,$26.87B,2015,Capital Goods,Auto Manufacturing,https://www.nasdaq.com/symbol/race,AMEX
FGP,"Ferrellgas Partners, L.P.",1.52,$147.67M,1994,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/fgp,AMEX
FOE,Ferro Corporation,19.4,$1.62B,n/a,Basic Industries,Paints/Coatings,https://www.nasdaq.com/symbol/foe,AMEX
FG,FGL Holdings,7.86,$1.68B,2017,Finance,Life Insurance,https://www.nasdaq.com/symbol/fg,AMEX
FG.WS,FGL Holdings,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/fg.ws,AMEX
FCAU,Fiat Chrysler Automobiles N.V.,16.37,$32.08B,2014,Capital Goods,Auto Manufacturing,https://www.nasdaq.com/symbol/fcau,AMEX
FBR,Fibria Celulose S.A.,18.48,$10.23B,1997,Basic Industries,Paper,https://www.nasdaq.com/symbol/fbr,AMEX
FNF,"Fidelity National Financial, Inc.",32.63,$8.97B,2014,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/fnf,AMEX
FIS,"Fidelity National Information Services, Inc.",104.8,$34.32B,n/a,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/fis,AMEX
FMO,Fiduciary/Claymore Energy Infrastructure Fund,10.3,$365.04M,2004,n/a,n/a,https://www.nasdaq.com/symbol/fmo,AMEX
FAF,First American Corporation (The),45.37,$5.07B,n/a,Finance,Specialty Insurers,https://www.nasdaq.com/symbol/faf,AMEX
FBP,First BanCorp.,9.33,$2.03B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/fbp,AMEX
FCF,First Commonwealth Financial Corporation,14.01,$1.39B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/fcf,AMEX
FDC,First Data Corporation,18,$16.86B,2015,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/fdc,AMEX
FHN,First Horizon National Corporation,16.37,$5.3B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/fhn,AMEX
FHN^A,First Horizon National Corporation,25.1,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/fhn^a,AMEX
FR,"First Industrial Realty Trust, Inc.",31.74,$4.01B,1994,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/fr,AMEX
AG,First Majestic Silver Corp.,4.87,$943.15M,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/ag,AMEX
FRC,FIRST REPUBLIC BANK,93.44,$15.4B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/frc,AMEX
FRC^D,FIRST REPUBLIC BANK,24.32,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/frc^d,AMEX
FRC^E.CL,FIRST REPUBLIC BANK,n/a,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/frc^e.cl,AMEX
FRC^F,FIRST REPUBLIC BANK,24.8,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/frc^f,AMEX
FRC^G,FIRST REPUBLIC BANK,23.92,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/frc^g,AMEX
FRC^H,FIRST REPUBLIC BANK,23.51,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/frc^h,AMEX
FRC^I,FIRST REPUBLIC BANK,24.1,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/frc^i,AMEX
FFA,First Trust,14.86,$296.8M,2004,n/a,n/a,https://www.nasdaq.com/symbol/ffa,AMEX
FMY,First Trust,13.08,$55.11M,2005,n/a,n/a,https://www.nasdaq.com/symbol/fmy,AMEX
FDEU,First Trust Dynamic Europe Equity Income Fund,14.15,$243.83M,2015,n/a,n/a,https://www.nasdaq.com/symbol/fdeu,AMEX
FIF,First Trust Energy Infrastructure Fund,14.72,$258.34M,2011,n/a,n/a,https://www.nasdaq.com/symbol/fif,AMEX
FSD,First Trust High Income Long Short Fund,14.09,$421.96M,2010,n/a,n/a,https://www.nasdaq.com/symbol/fsd,AMEX
FPF,First Trust Intermediate Duration Preferred & Income Fund,20.32,$1.23B,2013,n/a,n/a,https://www.nasdaq.com/symbol/fpf,AMEX
FEI           ,First Trust MLP and Energy Income Fund,11,$515.43M,2012,n/a,n/a,https://www.nasdaq.com/symbol/fei,AMEX
FPL,First Trust New Opportunities MLP & Energy Fund,8.63,$219.19M,2014,n/a,n/a,https://www.nasdaq.com/symbol/fpl,AMEX
FIV,First Trust Senior Floating Rate 2022 Target Term Fund,9.15,$327.86M,2016,n/a,n/a,https://www.nasdaq.com/symbol/fiv,AMEX
FCT,First Trust Senior Floating Rate Income Fund II,12.26,$327.3M,2004,n/a,n/a,https://www.nasdaq.com/symbol/fct,AMEX
FGB,First Trust Specialty Finance and Financial Opportunities Fund,6.205,$89.04M,2007,n/a,n/a,https://www.nasdaq.com/symbol/fgb,AMEX
FEO,First Trust/Aberdeen Emerging Opportunity Fund,12.44,$64.28M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/feo,AMEX
FAM,First Trust/Aberdeen Global Opportunity Income Fund,9.17,$118.75M,2006,n/a,n/a,https://www.nasdaq.com/symbol/fam,AMEX
FE,FirstEnergy Corp.,38.68,$19.78B,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/fe,AMEX
FIT,"Fitbit, Inc.",5.76,$1.43B,2015,Technology,Computer Manufacturing,https://www.nasdaq.com/symbol/fit,AMEX
FPH,"Five Point Holdings, LLC",7.73,$514.26M,2017,Finance,Real Estate,https://www.nasdaq.com/symbol/fph,AMEX
FBC,"Flagstar Bancorp, Inc.",31.63,$1.82B,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/fbc,AMEX
DFP,Flaherty & Crumrine Dynamic Preferred and Income Fund Inc.,21.68,$415.42M,2013,n/a,n/a,https://www.nasdaq.com/symbol/dfp,AMEX
PFD,Flaherty & Crumrine Preferred Income Fund Incorporated,12.42,$139.09M,1991,n/a,n/a,https://www.nasdaq.com/symbol/pfd,AMEX
PFO,Flaherty & Crumrine Preferred Income Opportunity Fund Inc,11.76,$147.55M,1992,n/a,n/a,https://www.nasdaq.com/symbol/pfo,AMEX
FFC,Flaherty & Crumrine Preferred Securities Income Fund Inc,17,$752.29M,2003,n/a,n/a,https://www.nasdaq.com/symbol/ffc,AMEX
FLC,Flaherty & Crumrine Total Return Fund Inc,17.75,$176.76M,2003,n/a,n/a,https://www.nasdaq.com/symbol/flc,AMEX
