Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term (Y),Interest_Type,Interest,APRC,Mortgage_Loan_Amt,Mortgage_Down_Payment,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Fixed_Rate_Term,Bank_Product_Code
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,10 Year Fixed LTV 61%-80%,"3,60,000",Offline,15,Variable,3.30%,3.60%,"3,60,000",20%,New Purchase,Primary Residence,Principle + Interest,10,15YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,Variable (LTV 61% - 80%),"3,60,000",Offline,15,Variable,4.20%,4.30%,"3,60,000",20%,New Purchase,Primary Residence,Principle + Interest,,15YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,1 Year Fixed LTV 61%-80%,"72,000",Offline,25,Variable,3.00%,4.20%,"72,000",20%,New Purchase,Primary Residence,Principle + Interest,1,25YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,2 Year Fixed LTV 61%-80%,"72,000",Offline,25,Variable,3.00%,4.00%,"72,000",20%,New Purchase,Primary Residence,Principle + Interest,2,25YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,3 Year Fixed LTV 61%-80%,"72,000",Offline,25,Variable,3.00%,3.90%,"72,000",20%,New Purchase,Primary Residence,Principle + Interest,3,25YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,5 Year Fixed LTV 61%-80%,"72,000",Offline,25,Variable,3.00%,3.70%,"72,000",20%,New Purchase,Primary Residence,Principle + Interest,5,25YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,10 Year Fixed LTV 61%-80%,"72,000",Offline,25,Variable,3.30%,3.60%,"72,000",20%,New Purchase,Primary Residence,Principle + Interest,10,25YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,Variable (LTV 61% - 80%),"72,000",Offline,25,Variable,4.20%,4.30%,"72,000",20%,New Purchase,Primary Residence,Principle + Interest,,25YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,1 Year Fixed LTV 61%-80%,"2,16,000",Offline,25,Variable,3.00%,4.20%,"2,16,000",20%,New Purchase,Primary Residence,Principle + Interest,1,25YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,2 Year Fixed LTV 61%-80%,"2,16,000",Offline,25,Variable,3.00%,4.00%,"2,16,000",20%,New Purchase,Primary Residence,Principle + Interest,2,25YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,3 Year Fixed LTV 61%-80%,"2,16,000",Offline,25,Variable,3.00%,3.90%,"2,16,000",20%,New Purchase,Primary Residence,Principle + Interest,3,25YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,5 Year Fixed LTV 61%-80%,"2,16,000",Offline,25,Variable,3.00%,3.70%,"2,16,000",20%,New Purchase,Primary Residence,Principle + Interest,5,25YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,10 Year Fixed LTV 61%-80%,"2,16,000",Offline,25,Variable,3.30%,3.60%,"2,16,000",20%,New Purchase,Primary Residence,Principle + Interest,10,25YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,Variable (LTV 61% - 80%),"2,16,000",Offline,25,Variable,4.20%,4.30%,"2,16,000",20%,New Purchase,Primary Residence,Principle + Interest,,25YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,1 Year Fixed LTV 61%-80%,"3,60,000",Offline,25,Variable,3.00%,4.20%,"3,60,000",20%,New Purchase,Primary Residence,Principle + Interest,1,25YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,2 Year Fixed LTV 61%-80%,"3,60,000",Offline,25,Variable,3.00%,4.00%,"3,60,000",20%,New Purchase,Primary Residence,Principle + Interest,2,25YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,3 Year Fixed LTV 61%-80%,"3,60,000",Offline,25,Variable,3.00%,3.90%,"3,60,000",20%,New Purchase,Primary Residence,Principle + Interest,3,25YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,5 Year Fixed LTV 61%-80%,"3,60,000",Offline,25,Variable,3.00%,3.70%,"3,60,000",20%,New Purchase,Primary Residence,Principle + Interest,5,25YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,10 Year Fixed LTV 61%-80%,"3,60,000",Offline,25,Variable,3.30%,3.60%,"3,60,000",20%,New Purchase,Primary Residence,Principle + Interest,10,25YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,Variable (LTV 61% - 80%),"3,60,000",Offline,25,Variable,4.20%,4.30%,"3,60,000",20%,New Purchase,Primary Residence,Principle + Interest,,25YMV
 2018-03-20,UK,London,Bank of Ireland,,GBP,Bank,Mortgages,Mortgages,1 Year Fixed LTV 61%-80%,"72,000",Offline,30,Variable,3.00%,4.20%,"72,000",20%,New Purchase,Primary Residence,Principle + Interest,1,30YMV
