Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Minm_Balance,Maxm_Balance,Bank_Offer_Feature,Term in Months,Interest_Type,Interest,AER
 2018-03-20,UK,London,Halifax,PVT,GBP,Bank,Deposits,Term Deposits,,ISA Saver Fixed,500,,Offline,1 year,Fixed,0.50%,0.50%
 2018-03-20,UK,London,Halifax,PVT,GBP,Bank,Deposits,Term Deposits,,Fixed Saver,500,,Offline,1 year,Fixed,0.45%,0.45%
 2018-03-20,UK,London,Halifax,PVT,GBP,Bank,Deposits,Term Deposits,,Regular Saver,25,250,Offline,,Fixed,2.50%,2.50%
 2018-03-20,UK,London,Halifax,PVT,GBP,Bank,Deposits,Savings,,Help to Buy: ISA,"1,000",,Offline,,Variable,2.00%,2.00%
 2018-03-20,UK,London,Halifax,PVT,GBP,Bank,Deposits,Savings,,ISA Saver Fixed,500,,Offline,1 year,Fixed,0.50%,0.50%
 2018-03-20,UK,London,Halifax,PVT,GBP,Bank,Deposits,Savings,,ISA Saver Variable,1,,Offline,12 months,Variable,0.35%,0.35%
 2018-03-20,UK,London,Halifax,PVT,GBP,Bank,Deposits,Savings,,Junior Cash ISA,1,,Offline,,Variable,3.00%,3.00%
 2018-03-20,UK,London,Lloyds Bank,,GBP,Bank,Deposits,Savings,,Cash ISA Saver,1,,Offline,,Variable,0.35000000000000003%,0.35000000000000003%
 2018-03-20,UK,London,Lloyds Bank,,GBP,Bank,Deposits,Savings,,Club Lloyds Monthly Saver,1,,Offline,,Variable,0.03%,0.03%
 2018-03-20,UK,London,Lloyds Bank,,GBP,Bank,Deposits,Savings,,Club Lloyds Saver,"1,500",,Offline,,Variable,0.35000000000000003%,0.35000000000000003%
 2018-03-20,UK,London,Lloyds Bank,,GBP,Bank,Deposits,Savings,,Club Lloyds Saver,1,"1,499",Offline,,Variable,0.2%,0.2%
 2018-03-20,UK,London,Lloyds Bank,,GBP,Bank,Deposits,Savings,,Easy Saver,1,,Offline,,Variable,0.2%,0.2%
