Date,Bank_Native_Country,State,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Balance,Bank_Offer_Feature,Term_in_Months,Interest_Type,Interest,AER,Source
 2018-04-05,UK,London,Barclays,GBP,Bank,Deposits,Savings,,2 Year Flexible Cash ISA - Issue 17,1-1000000,Online,24.0,Fixed,1.25%,1.25%,comparethemarket.com
 2018-04-05,UK,London,Metro Bank,GBP,Bank,Deposits,Savings,,1 Year Fixed Rate Cash ISA -Issue 13,1,Online,12.0,Fixed,1.25%,1.25%,comparethemarket.com
 2018-04-05,UK,London,Virgin Money Plc.,GBP,Bank,Deposits,Savings,,Easy Access Cash E-ISA Issue 23 (Flexible ISA),1-2000000,Online,,Fixed,1.16%,1.16%,comparethemarket.com
 2018-04-05,UK,London,Virgin Money Plc.,GBP,Bank,Deposits,Savings,,Easy Access Cash ISA Issue 23 (Flexible ISA),1-2000000,Online,,Fixed,1.16%,1.16%,comparethemarket.com
 2018-04-05,UK,London,NatWest,GBP,Bank,Deposits,Savings,,Fixed Rate ISA Issue 195,1000,Offline,,Fixed,1.15%,1.15%,comparethemarket.com
 2018-04-05,UK,London,Royal Bank Of Scotland,GBP,Bank,Deposits,Savings,,Fixed Rate ISA Issue 195,1000,Offline,,Fixed,1.15%,1.15%,comparethemarket.com
 2018-04-05,UK,London,Halifax,GBP,Bank,Deposits,Savings,,ISA Saver Fixed - 2 Year ,1,Online,24.0,Fixed,1.00%,1.00%,comparethemarket.com
 2018-04-05,UK,London,NatWest,GBP,Bank,Deposits,Savings,,Fixed Rate ISA Issue 194,1000,Offline,,Fixed,1.00%,1.00%,comparethemarket.com
 2018-04-05,UK,London,Royal Bank Of Scotland,GBP,Bank,Deposits,Savings,,Fixed Rate ISA Issue 194,1000,Offline,,Fixed,1.00%,1.00%,comparethemarket.com
 2018-04-05,UK,London,TSB,GBP,Bank,Deposits,Savings,,2 Year Fixed Rate Cash ISA,1,Online,24.0,Fixed,1.00%,1.00%,comparethemarket.com
 2018-04-05,UK,London,Santander Bank,GBP,Bank,Deposits,Savings,,2 Year Fixed Rate ISA (123),500,Offline,24.0,Fixed,0.80%,0.80%,comparethemarket.com
 2018-04-05,UK,London,HSBC,GBP,Bank,Deposits,Savings,,Loyalty Cash ISA - Premier Customer,1,Online,,Fixed,0.75%,0.75%,comparethemarket.com
 2018-04-05,UK,London,Metro Bank,GBP,Bank,Deposits,Savings,,Instant Access Cash ISA,1,Online,,Fixed,0.75%,0.75%,comparethemarket.com
 2018-04-05,UK,London,HSBC,GBP,Bank,Deposits,Savings,,Loyalty Cash ISA - Advance Customer,1,Online,,Fixed,0.65%,0.65%,comparethemarket.com
 2018-04-05,UK,London,Santander Bank,GBP,Bank,Deposits,Savings,,eISA 123 Customer,1,Online,,Fixed,0.60%,0.60%,comparethemarket.com
 2018-04-05,UK,London,The Co-operative Bank,GBP,Bank,Deposits,Savings,,Online Cash ISA,1-1000000,Online,,Fixed,0.56%,0.56%,comparethemarket.com
 2018-04-05,UK,London,Barclays,GBP,Bank,Deposits,Savings,,Instant Cash ISA - Issue 1,1,Online,,Fixed,0.55%,0.55%,comparethemarket.com
 2018-04-05,UK,London,HSBC,GBP,Bank,Deposits,Savings,,Loyalty Cash ISA - Current Account Customer,1,Online,,Fixed,0.55%,0.55%,comparethemarket.com
 2018-04-05,UK,London,Santander Bank,GBP,Bank,Deposits,Savings,,2 Year Fixed Rate ISA ,500,Offline,24.0,Fixed,0.55%,0.55%,comparethemarket.com
 2018-04-05,UK,London,Bank of Scotland,GBP,Bank,Deposits,Savings,,Fixed Cash ISA - 2 Year,500,Online,24.0,Fixed,0.50%,0.50%,comparethemarket.com
 2018-04-05,UK,London,Lloyds Bank,GBP,Bank,Deposits,Savings,,Fixed Rate Cash ISA - 2 years,1,Online,24.0,Fixed,0.50%,0.50%,comparethemarket.com
 2018-04-05,UK,London,TSB,GBP,Bank,Deposits,Savings,,Cash ISA Saver,1,Online,,Fixed,0.50%,0.50%,comparethemarket.com
 2018-04-05,UK,London,The Co-operative Bank,GBP,Bank,Deposits,Savings,,Cash ISA,1-1000000,Online,,Fixed,0.46%,0.46%,comparethemarket.com
 2018-04-05,UK,London,Clydesdale Bank,GBP,Bank,Deposits,Savings,,Flexi Cash ISA,1,Online,,Fixed,0.40%,0.40%,comparethemarket.com
 2018-04-05,UK,London,Bank of Scotland,GBP,Bank,Deposits,Savings,,Access Cash ISA,1,Online,,Fixed,0.35%,0.35%,comparethemarket.com
 2018-04-05,UK,London,Halifax,GBP,Bank,Deposits,Savings,,ISA Saver Variable,1,Online,,Fixed,0.35%,0.35%,comparethemarket.com
 2018-04-05,UK,London,Lloyds Bank,GBP,Bank,Deposits,Savings,,Cash ISA Saver,1,Online,,Fixed,0.35%,0.35%,comparethemarket.com
 2018-04-05,UK,London,Santander Bank,GBP,Bank,Deposits,Savings,,eISA Issue 3,1,Online,,Fixed,0.35%,0.35%,comparethemarket.com
 2018-04-05,UK,London,Royal Bank Of Scotland,GBP,Bank,Deposits,Savings,,Instant Access ISA,1,Online,,Fixed,0.25%,0.25%,comparethemarket.com
 2018-04-05,UK,London,NatWest,GBP,Bank,Deposits,Savings,,Cash ISA,1,Online,,Fixed,0.10%,0.10%,comparethemarket.com
 2018-04-05,UK,London,Santander Bank,GBP,Bank,Deposits,Savings,,Easy ISA,1,Online,,Fixed,0.10%,0.10%,comparethemarket.com
 2018-04-05,UK,London,Metro Bank,GBP,Bank,Deposits,Term Deposits,,Fixed Term Savings 3 Years,500-2000000,Online,36.0,Fixed,2.00%,2.00%,comparethemarket.com
 2018-04-05,UK,London,Metro Bank,GBP,Bank,Deposits,Term Deposits,,Fixed Term Savings 18 months,500-2000000,Online,18.0,Fixed,1.90%,1.90%,comparethemarket.com
 2018-04-05,UK,London,Virgin Money Plc.,GBP,Bank,Deposits,Term Deposits,,5 Year Fixed Rate Bond Issue 360,1-1000000,Online,60.0,Fixed,1.75%,1.75%,comparethemarket.com
 2018-04-05,UK,London,Virgin Money Plc.,GBP,Bank,Deposits,Term Deposits,,5 Year Fixed Rate E-Bond Issue 315,1-1000000,Online,60.0,Fixed,1.75%,1.75%,comparethemarket.com
 2018-04-05,UK,London,Metro Bank,GBP,Bank,Deposits,Term Deposits,,Fixed Term Savings 1 year,500-2000000,Online,12.0,Fixed,1.65%,1.65%,comparethemarket.com
 2018-04-05,UK,London,Clydesdale Bank,GBP,Bank,Deposits,Term Deposits,,5 Year Term Deposit ,2000-5000000,Online,60.0,Fixed,1.50%,1.50%,comparethemarket.com
 2018-04-05,UK,London,Virgin Money Plc.,GBP,Bank,Deposits,Term Deposits,,3 Year Fixed Rate Bond Issue 359,1-1000000,Offline,36.0,Fixed,1.50%,1.50%,comparethemarket.com
 2018-04-05,UK,London,Virgin Money Plc.,GBP,Bank,Deposits,Term Deposits,,3 Year Fixed Rate E-Bond Issue 314,1-1000000,Online,36.0,Fixed,1.50%,1.50%,comparethemarket.com
 2018-04-05,UK,London,Clydesdale Bank,GBP,Bank,Deposits,Term Deposits,,3 Year Term Deposit,2000-5000000,Online,36.0,Fixed,1.40%,1.40%,comparethemarket.com
 2018-04-05,UK,London,Virgin Money Plc.,GBP,Bank,Deposits,Term Deposits,,1 Year Fixed Rate Bond Issue 358,1-1000000,Offline,12.0,Fixed,1.25%,1.25%,comparethemarket.com
 2018-04-05,UK,London,Virgin Money Plc.,GBP,Bank,Deposits,Term Deposits,,1 Year Fixed Rate E-Bond Issue 313,1-1000000,Online,12.0,Fixed,1.25%,1.25%,comparethemarket.com
