Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Minm_Balance,Maxm_Balance,Bank_Offer_Feature,Term in Months,Interest_Type,Interest,AER
 2018-03-23,UK,London,The Co-operative Bank,Private,GBP,Bank,Deposits,Savings,_MSBF,The Co-operative Bank Smart Saver,1.0,,Offline,,Fixed,0.34%,0.34%
 2018-03-23,UK,London,The Co-operative Bank,Private,GBP,Bank,Deposits,Current,_MCCF,Current Account,,,Offline,,Fixed,,
 2018-03-23,UK,London,The Co-operative Bank,Private,GBP,Bank,Deposits,Current,_MCCF,Cashminder,,,Offline,,Fixed,,
 2018-03-23,UK,London,Bank of Ireland,BIRG,GBP,Bank,Deposits,Savings,_MSBF,Regular savings balance,0,9999,Online,,Fixed,1.20%,1.20%
 2018-03-23,UK,London,Bank of Ireland,BIRG,GBP,Bank,Deposits,Savings,_MSBF,Lump sum balance,10000,,Online,,Fixed,0.25%,0.25%
 2018-03-23,UK,London,Bank of Ireland,BIRG,GBP,Bank,Deposits,Term Deposits,12MCDF,365 12 Month Fixed Term Deposit,5000,1000000,Online,12.0,Fixed,0.24%,0.25%
 2018-03-23,UK,London,Bank of Ireland,BIRG,GBP,Bank,Deposits,Savings,_MSBF,GoalSaver,1,15000,Offline,,Fixed,1.35%,1.35%
 2018-03-23,UK,London,Bank of Ireland,BIRG,GBP,Bank,Deposits,Savings,_MSBF,GoalSaver,15000,,Offline,,Fixed,0.25%,0.25%
 2018-03-23,UK,London,Bank of Ireland,BIRG,GBP,Bank,Deposits,Term Deposits,6MCDF,Term Deposits - Fixed Rates,5000,1000000,Offline,6.0,Fixed,0.04%,0.10%
 2018-03-23,UK,London,Bank of Ireland,BIRG,GBP,Bank,Deposits,Term Deposits,12MCDF,Term Deposits - Fixed Rates,5000,1000000,Offline,12.0,Fixed,0.19%,0.20%
 2018-03-23,UK,London,Bank of Ireland,BIRG,GBP,Bank,Deposits,Term Deposits,36MCDF,Term Deposits - Fixed Rates,5000,10000000,Offline,36.0,Fixed,1.19%,0.40%
 2018-03-23,UK,London,Bank of Ireland,BIRG,GBP,Bank,Deposits,Current,_MCCF, Personal and Business,1,,Offline,,Fixed,0.00%,0.00%
 2018-03-23,UK,London,Bank of Scotland,Private,GBP,Bank,Deposits,Savings,12MSBF,Access Saver,,,Offline,12.0,Fixed,0.20% ,0.20% 
 2018-03-23,UK,London,Bank of Scotland,Private,GBP,Bank,Deposits,Savings,_MSBF,Monthly Saver,,,Offline,,Fixed,2.50% ,2.50% 
 2018-03-23,UK,London,Bank of Scotland,Private,GBP,Bank,Deposits,Savings,12MSBF,Access Cash ISA,,,Offline,12.0,Fixed,0.35%  ,0.35%  
 2018-03-23,UK,London,Bank of Scotland,Private,GBP,Bank,Deposits,Savings,24MSBF,Fixed Cash ISA,,,Offline,24.0,Fixed,0.50%  ,0.50%  
 2018-03-23,UK,London,Bank of Scotland,Private,GBP,Bank,Deposits,Term Deposits,12MCDF,Fixed Rate Bond,,,Offline,12.0,Fixed,0.40% ,0.40% 
 2018-03-23,UK,London,Bank of Scotland,Private,GBP,Bank,Deposits,Current,_MCCF,Classic Account,1,5000,Offline,,Fixed,1.98%,2%
 2018-03-23,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Savings,_MSBF,Signature Savings Account,100000,,Offline,,Fixed,0.50%,0.50%
 2018-03-23,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Savings,_MSBF,Signature Savings Account,50000,99999,Offline,,Fixed,0.30%,0.30%
 2018-03-23,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Savings,_MSBF,Signature Savings Account,25000,49999,Offline,,Fixed,0.10%,0.10%
 2018-03-23,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Savings,_MSBF,Signature Savings Account,0,24999,Offline,,Fixed,0.10%,0.10%
 2018-03-23,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Savings,_MSBF,Instant Savings Account,100000,,Offline,,Fixed,0.25%,0.25%
 2018-03-23,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Savings,_MSBF,Instant Savings Account,50000,99999,Offline,,Fixed,0.20%,0.20%
 2018-03-23,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Savings,_MSBF,Instant Savings Account,25000,49999,Offline,,Fixed,0.15%,0.15%
 2018-03-23,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Savings,_MSBF,Instant Savings Account,10000,24999,Offline,,Fixed,0.15%,0.15%
 2018-03-23,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Savings,_MSBF,Instant Savings Account,5000,9999,Offline,,Fixed,0.10%,0.10%
 2018-03-23,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Savings,_MSBF,Instant Savings Account,250,4999,Offline,,Fixed,0.10%,0.10%
 2018-03-23,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Savings,_MSBF,Instant Savings Account,1,249,Offline,,Fixed,0.10%,0.10%
 2018-03-23,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Term Deposit,3MCDF,3 months,2000,,Offline,3.0,Fixed,0.45%,0.45%
 2018-03-23,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Term Deposit,6MCDF,6 months,2000,,Offline,6.0,Fixed,0.60%,0.60%
 2018-03-23,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Term Deposit,12MCDF,12 months,2000,,Offline,12.0,Fixed,0.90%,0.90%
 2018-03-23,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Term Deposit,24MCDF,24 months,2000,,Offline,24.0,Fixed,1.09%,1.10%
 2018-03-23,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Term Deposit,36MCDF,36 months,2000,,Offline,36.0,Fixed,1.39%,1.40%
 2018-03-23,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Term Deposit,60MCDF,60 months,2000,,Offline,60.0,Fixed,1.49%,1.50%
 2018-03-23,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Current,_MCCF,Current Account,,2000,Offline,,Fixed,0.50%,0.50%
 2018-03-23,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Current,_MCCF,Current Account,2000,,Offline,,Fixed,0.00%,0.00%
 2018-03-23,UK,London,Halifax,Private,GBP,Bank,Deposits,Savings,12MSBF,ISA Saver Variable,1,,Offline,12.0,Fixed,0.35%,0.35%
 2018-03-23,UK,London,Halifax,Private,GBP,Bank,Deposits,Savings,12MSBF,Everyday Saver,1,,Offline,12.0,Fixed,0.20%,0.20%
 2018-03-23,UK,London,Halifax,Private,GBP,Bank,Deposits,Term Deposits,12MCDF,ISA Saver Fixed,500,,Offline,12.0,Fixed,0.50%,0.50%
 2018-03-23,UK,London,Halifax,Private,GBP,Bank,Deposits,Term Deposits,12MCDF,Fixed Saver,500,,Offline,12.0,Fixed,0.45%,0.45%
 2018-03-23,UK,London,Halifax,Private,GBP,Bank,Deposits,Term Deposits,_MCDF,Regular Saver,25,250,Offline,,Fixed,2.50%,2.50%
 2018-03-23,UK,London,Halifax,Private,GBP,Bank,Deposits,Savings,_MSBF,Help to Buy: ISA,1000,,Offline,,Fixed,2.00%,2.00%
 2018-03-23,UK,London,Halifax,Private,GBP,Bank,Deposits,Savings,12MSBF,ISA Saver Fixed,500,,Offline,12.0,Fixed,0.50%,0.50%
 2018-03-23,UK,London,Halifax,Private,GBP,Bank,Deposits,Savings,12MSBF,ISA Saver Variable,1,,Offline,12.0,Fixed,0.35%,0.35%
 2018-03-23,UK,London,Halifax,Private,GBP,Bank,Deposits,Savings,_MSBF,Junior Cash ISA,1,,Offline,,Fixed,3.00%,3.00%
 2018-03-23,UK,London,Lloyds Bank,LLOY,GBP,Bank,Deposits,Savings,_MSBF,Cash ISA Saver,1,,Offline,,Fixed,0.35%,0.35%
 2018-03-23,UK,London,Lloyds Bank,LLOY,GBP,Bank,Deposits,Savings,_MSBF,Club Lloyds Monthly Saver,1,,Offline,,Fixed,0.03%,0.03%
 2018-03-23,UK,London,Lloyds Bank,LLOY,GBP,Bank,Deposits,Savings,_MSBF,Club Lloyds Saver,1500,,Offline,,Fixed,0.35%,0.35%
 2018-03-23,UK,London,Lloyds Bank,LLOY,GBP,Bank,Deposits,Savings,_MSBF,Club Lloyds Saver,1,1499,Offline,,Fixed,0.20%,0.20%
 2018-03-23,UK,London,Lloyds Bank,LLOY,GBP,Bank,Deposits,Savings,_MSBF,Easy Saver,1,,Offline,,Fixed,0.20%,0.20%
 2018-03-23,UK,London,Lloyds Bank,LLOY,GBP,Bank,Deposits,Term Deposits,12MCDF,Fixed Bond  -  1 Year,2000,,Offline,12.0,Fixed,0.40%,0.40%
 2018-03-23,UK,London,Lloyds Bank,LLOY,GBP,Bank,Deposits,Term Deposits,24MCDF,Fixed Rate Cash ISA  -  2 Year,1,,Offline,24.0,Fixed,0.50%,0.50%
 2018-03-23,UK,London,Lloyds Bank,LLOY,GBP,Bank,Deposits,Savings,_MSBF,Help to Buy: ISA,1,,Offline,,Fixed,1.50%,1.50%
 2018-03-23,UK,London,Lloyds Bank,LLOY,GBP,Bank,Deposits,Savings,_MSBF,Monthly Saver,1,,Offline,,Fixed,2.50%,2.50%
 2018-03-23,UK,London,Lloyds Bank,LLOY,GBP,Bank,Deposits,Term Deposits,12MCDF,Online Fixed Bond  -  1 Year,2000,,Online,12.0,Fixed,0.40%,0.40%
 2018-03-23,UK,London,Metro Bank,MTRO,GBP,Bank,Deposits,Savings,_MSBF,Instant Access Savings,1,,Offline,,Fixed,0.40%,0.40%
 2018-03-23,UK,London,Metro Bank,MTRO,GBP,Bank,Deposits,Savings,_MSBF,Instant access cash isa,1,,Offline,,Fixed,0.75%,0.75%
 2018-03-23,UK,London,Metro Bank,MTRO,GBP,Bank,Deposits,Savings,12MSBF,Fixed rate cash ISA,1,,Offline,12.0,Fixed,1.25%,1.25%
 2018-03-23,UK,London,Metro Bank,MTRO,GBP,Bank,Deposits,Savings,24MSBF,Fixed rate cash ISA,1,,Offline,24.0,Fixed,1.40%,1.40%
 2018-03-23,UK,London,Metro Bank,MTRO,GBP,Bank,Deposits,Savings,36MSBF,Fixed rate cash ISA,1,,Offline,36.0,Fixed,1.50%,1.50%
 2018-03-23,UK,London,Metro Bank,MTRO,GBP,Bank,Deposits,Savings,60MSBF,Fixed rate cash ISA,1,,Offline,60.0,Fixed,1.75%,1.75%
 2018-03-23,UK,London,Metro Bank,MTRO,GBP,Bank,Deposits,Savings,3MSBF,Fixed Term Savings,500,,Offline,3.0,Fixed,0.75%,0.75%
 2018-03-23,UK,London,Metro Bank,MTRO,GBP,Bank,Deposits,Savings,6MSBF,Fixed Term Savings,500,,Offline,6.0,Fixed,1.00%,1.00%
 2018-03-23,UK,London,Metro Bank,MTRO,GBP,Bank,Deposits,Savings,12MSBF,Fixed Term Savings,500,,Offline,12.0,Fixed,1.65%,1.65%
 2018-03-23,UK,London,Metro Bank,MTRO,GBP,Bank,Deposits,Savings,18MSBF,Fixed Term Savings,500,,Offline,18.0,Fixed,1.90%,1.90%
 2018-03-23,UK,London,Metro Bank,MTRO,GBP,Bank,Deposits,Savings,36MSBF,Fixed Term Savings,500,,Offline,36.0,Fixed,2.00%,2.00%
 2018-03-23,UK,London,Metro Bank,MTRO,GBP,Bank,Deposits,Current,_MCCF,Current Account,0,,Offline,,Fixed,,
 2018-03-23,UK,London,NatWest,NWBD,GBP,Bank,Deposits,Savings,_MSBF,Instant Saver,1,24999,Offline,,Fixed,0.10%,0.10%
 2018-03-23,UK,London,NatWest,NWBD,GBP,Bank,Deposits,Savings,_MSBF,Instant Saver,25000,999999,Offline,,Fixed,0.20%,0.20%
 2018-03-23,UK,London,NatWest,NWBD,GBP,Bank,Deposits,Savings,_MSBF,Instant Saver,10000000,,Offline,,Fixed,0.25%,0.25%
 2018-03-23,UK,London,NatWest,NWBD,GBP,Bank,Deposits,Savings,_MSBF,Savings Builder,1,,Offline,,Fixed,0.10%,0.10%
 2018-03-23,UK,London,NatWest,NWBD,GBP,Bank,Deposits,Savings,_MSBF,Savings Builder,1,5000,Offline,,Fixed,1.50%,1.50%
 2018-03-23,UK,London,NatWest,NWBD,GBP,Bank,Deposits,Savings,_MSBF,Savings Builder,5001,10000,Offline,,Fixed,1.00%,1.00%
