Date,Bank_Native_Country,State,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term (Y),Interest_Type,Interest,APRC,Mortgage_Loan_Amt,Mortgage_Down_Payment,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Fixed_Rate_Term,Bank_Product_Code
03-16-2018,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 75 to 85%,,Offline,10,Fixed,2.21%,3.99%,,20%,New Purchase,Primary Residence,Principle + Interest#TODO,,
03-16-2018,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,10,Fixed,2.28%,3.99%,,20%,New Purchase,Primary Residence,Principle + Interest#TODO,,
03-16-2018,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,10,Fixed,2.39%,3.99%,,20%,New Purchase,Primary Residence,Principle + Interest#TODO,,
03-16-2018,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 75 to 85%,,Offline,15,Fixed,2.21%,3.99%,,20%,New Purchase,Primary Residence,Principle + Interest#TODO,,
03-16-2018,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,15,Fixed,2.28%,3.99%,,20%,New Purchase,Primary Residence,Principle + Interest#TODO,,
03-16-2018,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,15,Fixed,2.39%,3.99%,,20%,New Purchase,Primary Residence,Principle + Interest#TODO,,
03-16-2018,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 75 to 85%,,Offline,25,Fixed,2.21%,3.99%,,20%,New Purchase,Primary Residence,Principle + Interest#TODO,,
03-16-2018,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,25,Fixed,2.28%,3.99%,,20%,New Purchase,Primary Residence,Principle + Interest#TODO,,
03-16-2018,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,25,Fixed,2.39%,3.99%,,20%,New Purchase,Primary Residence,Principle + Interest#TODO,,
03-16-2018,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 75 to 85%,,Offline,30,Fixed,2.21%,3.99%,,20%,New Purchase,Primary Residence,Principle + Interest#TODO,,
03-16-2018,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,30,Fixed,2.28%,3.99%,,20%,New Purchase,Primary Residence,Principle + Interest#TODO,,
03-16-2018,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,30,Fixed,2.39%,3.99%,,20%,New Purchase,Primary Residence,Principle + Interest#TODO,,
03-16-2018,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 75 to 85%,,Offline,10,Fixed,1.81%,3.99%,,20%,New Purchase,Primary Residence,Principle + Interest#TODO,,
03-16-2018,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 75 to 85%,,Offline,10,Fixed,2.21%,3.99%,,20%,New Purchase,Primary Residence,Principle + Interest#TODO,,
03-16-2018,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,10,Fixed,2.08%,3.99%,,20%,New Purchase,Primary Residence,Principle + Interest#TODO,,
03-16-2018,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,10,Fixed,2.19%,3.99%,,20%,New Purchase,Primary Residence,Principle + Interest#TODO,,
03-16-2018,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,10,Fixed,2.28%,3.99%,,20%,New Purchase,Primary Residence,Principle + Interest#TODO,,
03-16-2018,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,10,Fixed,2.39%,3.99%,,20%,New Purchase,Primary Residence,Principle + Interest#TODO,,
03-16-2018,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 75 to 85%,,Offline,25,Fixed,1.81%,3.99%,,20%,New Purchase,Primary Residence,Principle + Interest#TODO,,
03-16-2018,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 75 to 85%,,Offline,25,Fixed,2.21%,3.99%,,20%,New Purchase,Primary Residence,Principle + Interest#TODO,,
03-16-2018,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,25,Fixed,2.08%,3.99%,,20%,New Purchase,Primary Residence,Principle + Interest#TODO,,
03-16-2018,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,25,Fixed,2.19%,3.99%,,20%,New Purchase,Primary Residence,Principle + Interest#TODO,,
03-16-2018,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,25,Fixed,2.28%,3.99%,,20%,New Purchase,Primary Residence,Principle + Interest#TODO,,
03-16-2018,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,25,Fixed,2.39%,3.99%,,20%,New Purchase,Primary Residence,Principle + Interest#TODO,,
03-16-2018,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 75 to 85%,,Offline,30,Fixed,1.81%,3.99%,,20%,New Purchase,Primary Residence,Principle + Interest#TODO,,
03-16-2018,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 75 to 85%,,Offline,30,Fixed,2.21%,3.99%,,20%,New Purchase,Primary Residence,Principle + Interest#TODO,,
03-16-2018,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,30,Fixed,2.08%,3.99%,,20%,New Purchase,Primary Residence,Principle + Interest#TODO,,
03-16-2018,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,30,Fixed,2.19%,3.99%,,20%,New Purchase,Primary Residence,Principle + Interest#TODO,,
03-16-2018,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,30,Fixed,2.28%,3.99%,,20%,New Purchase,Primary Residence,Principle + Interest#TODO,,
03-16-2018,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,30,Fixed,2.39%,3.99%,,20%,New Purchase,Primary Residence,Principle + Interest#TODO,,
03-16-2018,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 75 to 85%,,Offline,10,Fixed,1.68%,3.99%,,20%,New Purchase,Primary Residence,Principle + Interest#TODO,,
03-16-2018,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 75 to 85%,,Offline,10,Fixed,2.21%,3.99%,,20%,New Purchase,Primary Residence,Principle + Interest#TODO,,
03-16-2018,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,10,Fixed,2.01%,3.99%,,20%,New Purchase,Primary Residence,Principle + Interest#TODO,,
03-16-2018,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,10,Fixed,2.18%,3.99%,,20%,New Purchase,Primary Residence,Principle + Interest#TODO,,
03-16-2018,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,10,Fixed,2.28%,3.99%,,20%,New Purchase,Primary Residence,Principle + Interest#TODO,,
03-16-2018,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,10,Fixed,2.39%,3.99%,,20%,New Purchase,Primary Residence,Principle + Interest#TODO,,
03-16-2018,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 75 to 85%,,Offline,15,Fixed,1.68%,3.99%,,20%,New Purchase,Primary Residence,Principle + Interest#TODO,,
03-16-2018,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 75 to 85%,,Offline,15,Fixed,2.21%,3.99%,,20%,New Purchase,Primary Residence,Principle + Interest#TODO,,
03-16-2018,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,15,Fixed,2.01%,3.99%,,20%,New Purchase,Primary Residence,Principle + Interest#TODO,,
03-16-2018,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,15,Fixed,2.18%,3.99%,,20%,New Purchase,Primary Residence,Principle + Interest#TODO,,
03-16-2018,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,15,Fixed,2.28%,3.99%,,20%,New Purchase,Primary Residence,Principle + Interest#TODO,,
03-16-2018,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,15,Fixed,2.39%,3.99%,,20%,New Purchase,Primary Residence,Principle + Interest#TODO,,
03-16-2018,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 75 to 85%,,Offline,25,Fixed,1.68%,3.99%,,20%,New Purchase,Primary Residence,Principle + Interest#TODO,,
03-16-2018,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,2 year Fixed LTV 75 to 85%,,Offline,25,Fixed,2.21%,3.99%,,20%,New Purchase,Primary Residence,Principle + Interest#TODO,,
03-16-2018,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,25,Fixed,2.01%,3.99%,,20%,New Purchase,Primary Residence,Principle + Interest#TODO,,
03-16-2018,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,25,Fixed,2.18%,3.99%,,20%,New Purchase,Primary Residence,Principle + Interest#TODO,,
03-16-2018,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 75 to 80%,,Offline,25,Fixed,2.28%,3.99%,,20%,New Purchase,Primary Residence,Principle + Interest#TODO,,
03-16-2018,UK,London,Halifax Bank,GBP,Bank,Mortgages,Mortgages,5 year Fixed LTV 80 to 85%,,Offline,25,Fixed,2.39%,3.99%,,20%,New Purchase,Primary Residence,Principle + Interest#TODO,,
