Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Minm_Balance,Maxm_Balance,Bank_Offer_Feature,Term_in_Months,Interest_Type,Interest,AER,Source
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Deposits,Term Deposits,12MCDF,Britannia 1yr Fixed Rate Bond,1000,,Offline,12,Fixed,0.65%,0.65%,Bank Website
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Deposits,Term Deposits,24MCDF,Britannia 2yr Fixed Rate Bond,1000,,Offline,24,Fixed,0.75%,0.75%,Bank Website
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Deposits,Term Deposits,36MCDF,Britannia 3yr Fixed Rate Bond,1000,,Offline,36,Fixed,0.90%,0.90%,Bank Website
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Deposits,Savings,_MSBF,Britannia Fixed Rate Cash ISA - fixed until 05/04/2019,5000,,Offline,,Fixed,0.80%,0.80%,Bank Website
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Deposits,Savings,_MSBF,Britannia Fixed Rate Cash ISA - fixed until 05/04/2020,5000,,Offline,,Fixed,0.90%,0.90%,Bank Website
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Deposits,Savings,_MSBF,Britannia Select Access Saver 8,1,,Offline,,Fixed,0.60%,0.60%,Bank Website
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Deposits,Savings,_MSBF,Britannia Select Access Saver 8,1,,Offline,,Fixed,0.10%,0.10%,Bank Website
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Deposits,Savings,_MSBF,The Co-operative Bank Cash ISA,1,,Offline,,Fixed,0.46%,0.46%,Bank Website
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Deposits,Savings,_MSBF,The Co-operative Bank The Co-operative Membership Savings,1,,Offline,,Fixed,0.25%,0.25%,Bank Website
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Deposits,Savings,_MSBF,The Co-operative Bank Future Fund Account,5000,,Offline,,Fixed,0.34%,0.34%,Bank Website
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Deposits,Savings,_MSBF,The Co-operative Bank Future Fund Account,1000,,Offline,,Fixed,0.34%,0.34%,Bank Website
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Deposits,Savings,_MSBF,The Co-operative Bank Future Fund Account,1,,Offline,,Fixed,0.34%,0.34%,Bank Website
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Deposits,Savings,_MSBF,The Co-operative Bank Online Cash ISA,1,,Online,,Fixed,0.56%,0.56%,Bank Website
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Deposits,Savings,_MSBF,The Co-operative Bank Online Saver,1,,Online,,Fixed,0.56%,0.56%,Bank Website
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Deposits,Savings,_MSBF,The Co-operative Bank Smart Saver,1,,Offline,,Fixed,0.34%,0.34%,Bank Website
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Deposits,Current,_MCCF,Current Account,,,Offline,,Fixed,,,Bank Website
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Deposits,Current,_MCCF,Cashminder,,,Offline,,Fixed,,,Bank Website
 2018-04-03,UK,London,Bank of Ireland,BIRG,GBP,Bank,Deposits,Savings,_MSBF,Regular savings balance,0,9999,Online,,Fixed,1.20%,1.20%,Bank Website
 2018-04-03,UK,London,Bank of Ireland,BIRG,GBP,Bank,Deposits,Savings,_MSBF,Lump sum balance,10000,,Online,,Fixed,0.25%,0.25%,Bank Website
 2018-04-03,UK,London,Bank of Ireland,BIRG,GBP,Bank,Deposits,Term Deposits,12MCDF,365 12 Month Fixed Term Deposit,5000,1000000,Online,12,Fixed,0.24%,0.25%,Bank Website
 2018-04-03,UK,London,Bank of Ireland,BIRG,GBP,Bank,Deposits,Savings,_MSBF,GoalSaver,1,15000,Offline,,Fixed,1.35%,1.35%,Bank Website
 2018-04-03,UK,London,Bank of Ireland,BIRG,GBP,Bank,Deposits,Savings,_MSBF,GoalSaver,15000,,Offline,,Fixed,0.25%,0.25%,Bank Website
 2018-04-03,UK,London,Bank of Ireland,BIRG,GBP,Bank,Deposits,Term Deposits,6MCDF,Term Deposits - Fixed Rates,5000,1000000,Offline,6,Fixed,0.04%,0.10%,Bank Website
 2018-04-03,UK,London,Bank of Ireland,BIRG,GBP,Bank,Deposits,Term Deposits,12MCDF,Term Deposits - Fixed Rates,5000,1000000,Offline,12,Fixed,0.19%,0.20%,Bank Website
 2018-04-03,UK,London,Bank of Ireland,BIRG,GBP,Bank,Deposits,Term Deposits,36MCDF,Term Deposits - Fixed Rates,5000,10000000,Offline,36,Fixed,1.19%,0.40%,Bank Website
 2018-04-03,UK,London,Bank of Ireland,BIRG,GBP,Bank,Deposits,Current,_MCCF, Personal and Business,1,,Offline,,Fixed,0.00%,0.00%,Bank Website
 2018-04-03,UK,London,Bank of Scotland,Private,GBP,Bank,Deposits,Savings,12MSBF,Access Saver,,,Offline,12,Fixed,0.20%,0.20%,Bank Website
 2018-04-03,UK,London,Bank of Scotland,Private,GBP,Bank,Deposits,Savings,12MSBF,Access Cash ISA,,,Offline,12,Fixed,0.35%,0.35%,Bank Website
 2018-04-03,UK,London,Bank of Scotland,Private,GBP,Bank,Deposits,Savings,24MSBF,Fixed Cash ISA,,,Offline,24,Fixed,0.50%,0.50%,Bank Website
 2018-04-03,UK,London,Bank of Scotland,Private,GBP,Bank,Deposits,Savings,12MSBF,Fixed Rate Bond,,,Offline,12,Fixed,0.40%,0.40%,Bank Website
 2018-04-03,UK,London,Bank of Scotland,Private,GBP,Bank,Deposits,Current,_MCCF,Classic Account,1,5000,Offline,,Fixed,1.98%,2%,Bank Website
 2018-04-03,UK,London,Barclays,BARC,GBP,Bank,Deposits,Savings,_MSBF,Everyday Saver,1,49999,Offline,,Fixed,0.20%,0.20%,Bank Website
 2018-04-03,UK,London,Barclays,BARC,GBP,Bank,Deposits,Savings,_MSBF,Everyday Saver,50000,10000000,Offline,,Fixed,0.25%,0.25%,Bank Website
 2018-04-03,UK,London,Barclays,BARC,GBP,Bank,Deposits,Savings,_MSBF,Instant Cash ISA,1,29999,Offline,,Fixed,0.55%,0.55%,Bank Website
 2018-04-03,UK,London,Barclays,BARC,GBP,Bank,Deposits,Savings,_MSBF,Instant Cash ISA,30000,99000,Offline,,Fixed,0.65%,0.65%,Bank Website
 2018-04-03,UK,London,Barclays,BARC,GBP,Bank,Deposits,Savings,_MSBF,Instant Cash ISA,100000,,Offline,,Fixed,0.75%,0.75%,Bank Website
 2018-04-03,UK,London,Barclays,BARC,GBP,Bank,Deposits,Savings,24MSBF,2-Year Flexible Cash ISA,1,1000000,Offline,24,Fixed,1.25%,1.25%,Bank Website
 2018-04-03,UK,London,Barclays,BARC,GBP,Bank,Deposits,Term Deposits,24MCDF,2-Year Flexible Bond,1,1000000,Offline,24,Fixed,1.00%,1.00%,Bank Website
 2018-04-03,UK,London,Barclays,BARC,GBP,Bank,Deposits,Term Deposits,12MCDF,1-Year Fixed-rate Bond,500,1000000,Offline,12,Fixed,0.90%,0.90%,Bank Website
 2018-04-03,UK,London,Barclays,BARC,GBP,Bank,Deposits,Current,_MCCF,Barclays Bank Account,,,Offline,,Fixed,,,Bank Website
 2018-04-03,UK,London,Barclays,BARC,GBP,Bank,Deposits,Current,_MCCF,Premier Current Accounts,,,Offline,,Fixed,,,Bank Website
 2018-04-03,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Savings,_MSBF,Signature Savings Account,100000,,Offline,,Fixed,0.50%,0.50%,Bank Website
 2018-04-03,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Savings,_MSBF,Signature Savings Account,50000,99999,Offline,,Fixed,0.30%,0.30%,Bank Website
 2018-04-03,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Savings,_MSBF,Signature Savings Account,25000,49999,Offline,,Fixed,0.10%,0.10%,Bank Website
 2018-04-03,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Savings,_MSBF,Signature Savings Account,0,24999,Offline,,Fixed,0.10%,0.10%,Bank Website
 2018-04-03,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Savings,_MSBF,Instant Savings Account,100000,,Offline,,Fixed,0.25%,0.25%,Bank Website
 2018-04-03,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Savings,_MSBF,Instant Savings Account,50000,99999,Offline,,Fixed,0.20%,0.20%,Bank Website
 2018-04-03,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Savings,_MSBF,Instant Savings Account,25000,49999,Offline,,Fixed,0.15%,0.15%,Bank Website
 2018-04-03,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Savings,_MSBF,Instant Savings Account,10000,24999,Offline,,Fixed,0.15%,0.15%,Bank Website
 2018-04-03,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Savings,_MSBF,Instant Savings Account,5000,9999,Offline,,Fixed,0.10%,0.10%,Bank Website
 2018-04-03,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Savings,_MSBF,Instant Savings Account,250,4999,Offline,,Fixed,0.10%,0.10%,Bank Website
 2018-04-03,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Savings,_MSBF,Instant Savings Account,1,249,Offline,,Fixed,0.10%,0.10%,Bank Website
 2018-04-03,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Term Deposits,6MCDF,6 months,2000,,Offline,6,Fixed,0.60%,0.60%,Bank Website
 2018-04-03,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Term Deposits,12MCDF,12 months,2000,,Offline,12,Fixed,0.90%,0.90%,Bank Website
 2018-04-03,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Term Deposits,24MCDF,24 months,2000,,Offline,24,Fixed,1.09%,1.10%,Bank Website
 2018-04-03,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Term Deposits,36MCDF,36 months,2000,,Offline,36,Fixed,1.39%,1.40%,Bank Website
 2018-04-03,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Deposits,Current,_MCCF,Current Account,,2000,Offline,,Fixed,0.50%,0.50%,Bank Website
