Bank_Name,Ticker
Royal Bank Of Scotland,RBS
NatWest,NWBD
Lloyds Bank,LLOY
HSBC HOLDINGS PLC,HSBA
TSB,Private
BARCLAYS PLC,BARC
BANK OF IRELAND GROUP PLC,BIRG
Metro Bank,MTRO
Bank of Scotland,Private
The Co-operative Bank,Private
Halifax,Private
SANTANDER UK,Private
Clydesdale Bank,CYBG
Virgin Money Plc.,VM
