Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term (Y),Interest_Type,Interest,APRC,Mortgage_Loan_Amt,Mortgage_Down_Payment,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Fixed_Rate_Term
 2018-03-20,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Mortgages,Mortgages,30YMV,2 Year Fixed Rate - Fee Offer,,Offline,30,Variable,2.64%,4.60%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2
 2018-03-20,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Mortgages,Mortgages,30YMV,2 Year Fixed Rate Buy To Let ,,Offline,30,Variable,4.79%,5.50%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2
 2018-03-20,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Mortgages,Mortgages,30YMV,5 Year Fixed Rate,,Offline,30,Variable,2.69%,4.20%,72000,20%,New Purchase,Primary Residence,Principal + Interest,5
 2018-03-20,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Mortgages,Mortgages,30YMV,5 Year Fixed Rate - Fee Offer,,Offline,30,Variable,3.04%,4.20%,72000,20%,New Purchase,Primary Residence,Principal + Interest,5
 2018-03-20,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Mortgages,Mortgages,30YMV,5 Year Fixed Rate Buy To Let ,,Offline,30,Variable,4.99%,5.50%,72000,20%,New Purchase,Primary Residence,Principal + Interest,5
 2018-03-20,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Mortgages,Mortgages,30YMV,Offset 2 Year Discount (OVR Minus 2.01%) ,,Offline,30,Variable,2.94%,4.80%,72000,20%,New Purchase,Primary Residence,Principal + Interest,
 2018-03-20,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Mortgages,Mortgages,30YMV,Offset Variable Investment Housing Loan Buy To Let,,Offline,30,Variable,5.35%,5.60%,72000,20%,New Purchase,Primary Residence,Principal + Interest,
 2018-03-20,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Mortgages,Mortgages,30YMV,2 Year Discounted Standard Variable Rate(SVR Minus 2.81%) ,,Offline,30,Variable,2.14%,4.60%,216000,20%,New Purchase,Primary Residence,Principal + Interest,
 2018-03-20,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Mortgages,Mortgages,30YMV,2 Year Discount Standard Variable Rate - Fee Offer (SVR Minus 2.31%) ,,Offline,30,Variable,2.64%,4.60%,216000,20%,New Purchase,Primary Residence,Principal + Interest,
 2018-03-20,UK,London,Clydesdale Bank,CYBG,GBP,Bank,Mortgages,Mortgages,30YMV,2 Year Fixed Rate,,Offline,30,Variable,1.89%,4.60%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2
