Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Minm_Balance,Maxm_Balance,Bank_Offer_Feature,Term in Months,Interest_Type,Interest,AER
 2018-03-20,UK,London,Bank of Scotland,Private,GBP,Bank,Deposits,Savings,_MSBF,Monthly Saver,,,Offline,,Fixed,2.50%,2.50%
 2018-03-20,UK,London,Bank of Scotland,Private,GBP,Bank,Deposits,Savings,12MSBF,Access Cash ISA,,,Offline,12,Fixed,0.35%,0.35%
 2018-03-20,UK,London,Bank of Scotland,Private,GBP,Bank,Deposits,Savings,24MSBF,Fixed Cash ISA,,,Offline,24,Fixed,0.50%,0.50%
 2018-03-20,UK,London,Bank of Scotland,Private,GBP,Bank,Deposits,Term Deposits,12MCDF,Fixed Rate Bond,,,Offline,12,Fixed,0.40%,0.40%
 2018-03-20,UK,London,Bank of Scotland,Private,GBP,Bank,Deposits,Current,_MCCF,Classic Account,1,5000,Offline,,Fixed,1.98%,2%
 2018-03-20,UK,London,Halifax,Private,GBP,Bank,Deposits,Savings,_MSBF,ISA Saver Variable,1,,Offline,12,Fixed,0.35%,0.35%
 2018-03-20,UK,London,Halifax,Private,GBP,Bank,Deposits,Savings,_MSBF,Everyday Saver,1,,Offline,12,Fixed,0.20%,0.20%
 2018-03-20,UK,London,Halifax,Private,GBP,Bank,Deposits,Term Deposits,_MCDF,ISA Saver Fixed,500,,Offline,12,Fixed,0.50%,0.50%
 2018-03-20,UK,London,Halifax,Private,GBP,Bank,Deposits,Term Deposits,_MCDF,Fixed Saver,500,,Offline,12,Fixed,0.45%,0.45%
 2018-03-20,UK,London,Halifax,Private,GBP,Bank,Deposits,Term Deposits,_MCDF,Regular Saver,25,250,Offline,,Fixed,2.50%,2.50%
 2018-03-20,UK,London,Halifax,Private,GBP,Bank,Deposits,Savings,_MSBF,Help to Buy: ISA,1000,,Offline,,Fixed,2.00%,2.00%
 2018-03-20,UK,London,Halifax,Private,GBP,Bank,Deposits,Savings,_MSBF,ISA Saver Fixed,500,,Offline,12,Fixed,0.50%,0.50%
 2018-03-20,UK,London,Halifax,Private,GBP,Bank,Deposits,Savings,_MSBF,ISA Saver Variable,1,,Offline,12,Fixed,0.35%,0.35%
 2018-03-20,UK,London,Halifax,Private,GBP,Bank,Deposits,Savings,_MSBF,Junior Cash ISA,1,,Offline,,Fixed,3.00%,3.00%
 2018-03-20,UK,London,Lloyds Bank,LLOY,GBP,Bank,Deposits,Savings,_MSBF,Cash ISA Saver,1,,Offline,,Fixed,0.35%,0.35%
 2018-03-20,UK,London,Lloyds Bank,LLOY,GBP,Bank,Deposits,Savings,_MSBF,Club Lloyds Monthly Saver,1,,Offline,,Fixed,0.03%,0.03%
 2018-03-20,UK,London,Lloyds Bank,LLOY,GBP,Bank,Deposits,Savings,_MSBF,Club Lloyds Saver,1500,,Offline,,Fixed,0.35%,0.35%
 2018-03-20,UK,London,Lloyds Bank,LLOY,GBP,Bank,Deposits,Savings,_MSBF,Club Lloyds Saver,1,1499,Offline,,Fixed,0.20%,0.20%
 2018-03-20,UK,London,Lloyds Bank,LLOY,GBP,Bank,Deposits,Savings,_MSBF,Easy Saver,1,,Offline,,Fixed,0.20%,0.20%
 2018-03-20,UK,London,Lloyds Bank,LLOY,GBP,Bank,Deposits,Term Deposits,12MCDF,Fixed Bond  -  1 Year,2000,,Offline,12,Fixed,0.40%,0.40%
 2018-03-20,UK,London,Lloyds Bank,LLOY,GBP,Bank,Deposits,Term Deposits,24MCDF,Fixed Rate Cash ISA  -  2 Year,1,,Offline,24,Fixed,0.50%,0.50%
 2018-03-20,UK,London,Lloyds Bank,LLOY,GBP,Bank,Deposits,Savings,_MSBF,Help to Buy: ISA,1,,Offline,,Fixed,1.50%,1.50%
 2018-03-20,UK,London,Lloyds Bank,LLOY,GBP,Bank,Deposits,Savings,_MSBF,Easy Saver,1,,Offline,,Fixed,0.20%,0.20%
 2018-03-20,UK,London,Lloyds Bank,LLOY,GBP,Bank,Deposits,Term Deposits,12MCDF,Fixed Bond  -  1 Year,2000,,Offline,12,Fixed,0.40%,0.40%
 2018-03-20,UK,London,Lloyds Bank,LLOY,GBP,Bank,Deposits,Term Deposits,24MCDF,Fixed Rate Cash ISA  -  2 Year,1,,Offline,24,Fixed,0.50%,0.50%
 2018-03-20,UK,London,Lloyds Bank,LLOY,GBP,Bank,Deposits,Savings,_MSBF,Help to Buy: ISA,1,,Offline,,Fixed,1.50%,1.50%
 2018-03-20,UK,London,NatWest,NWBD,GBP,Bank,Deposits,Savings,_MSBF,Instant Saver,1,24999,Offline,,Fixed,0.10%,0.10%
 2018-03-20,UK,London,NatWest,NWBD,GBP,Bank,Deposits,Savings,_MSBF,Instant Saver,25000,999999,Offline,,Fixed,0.20%,0.20%
 2018-03-20,UK,London,NatWest,NWBD,GBP,Bank,Deposits,Savings,_MSBF,Instant Saver,1000000,,Offline,,Fixed,0.25%,0.25%
 2018-03-20,UK,London,NatWest,NWBD,GBP,Bank,Deposits,Savings,_MSBF,Savings Builder,1,,Offline,,Fixed,0.10%,0.10%
 2018-03-20,UK,London,NatWest,NWBD,GBP,Bank,Deposits,Savings,_MSBF,Savings Builder,1,5000,Offline,,Fixed,1.50%,1.50%
 2018-03-20,UK,London,NatWest,NWBD,GBP,Bank,Deposits,Savings,_MSBF,Savings Builder,5000,10000,Offline,,Fixed,1.00%,1.00%
 2018-03-20,UK,London,NatWest,NWBD,GBP,Bank,Deposits,Savings,_MSBF,Savings Builder,10000,,Offline,,Fixed,0.20%,0.20%
 2018-03-20,UK,London,NatWest,NWBD,GBP,Bank,Deposits,Savings,_MSBF,Savings Builder,1,,Offline,,Fixed,0.00%,0.00%
 2018-03-20,UK,London,NatWest,NWBD,GBP,Bank,Deposits,Savings,_MSBF,Savings Builder,1,5000,Offline,,Fixed,1.50%,1.50%
 2018-03-20,UK,London,NatWest,NWBD,GBP,Bank,Deposits,Savings,_MSBF,Savings Builder,5000,10000,Offline,,Fixed,1.00%,1.00%
 2018-03-20,UK,London,NatWest,NWBD,GBP,Bank,Deposits,Savings,_MSBF,Savings Builder,10000,,Offline,,Fixed,0.20%,0.20%
 2018-03-20,UK,London,NatWest,NWBD,GBP,Bank,Deposits,Savings,_MSBF,Premium Saver,1,,Offline,,Fixed,0.10%,0.10%
 2018-03-20,UK,London,NatWest,NWBD,GBP,Bank,Deposits,Savings,_MSBF,Premium Saver,1,24999,Offline,,Fixed,0.10%,0.10%
 2018-03-20,UK,London,NatWest,NWBD,GBP,Bank,Deposits,Savings,_MSBF,Premium Saver,25000,49999,Offline,,Fixed,0.50%,0.50%
 2018-03-20,UK,London,NatWest,NWBD,GBP,Bank,Deposits,Savings,_MSBF,Premium Saver,50000,1,Offline,,Fixed,0.75%,0.75%
 2018-03-20,UK,London,NatWest,NWBD,GBP,Bank,Deposits,Savings,_MSBF,Premium Saver,1,,Offline,,Fixed,0.10%,0.10%
 2018-03-20,UK,London,NatWest,NWBD,GBP,Bank,Deposits,Savings,_MSBF,Cash ISA,10000,,Offline,,Fixed,,0.10%
