Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Minm_Balance,Maxm_Balance,Bank_Offer_Feature,Term_in_Months,Interest_Type,Interest,APY,Source
 2018-04-03,US,New York,ALLY,ALLY,USD,Bank,Deposits,Savings,_MSBV,Online Savings,,,Online,,Variable,,1.45%,Bank Website
 2018-04-03,US,New York,ALLY,ALLY,USD,Bank,Deposits,Savings,_MSBV,Money Market,,5000,Online,,Variable,,0.90%,Bank Website
 2018-04-03,US,New York,ALLY,ALLY,USD,Bank,Deposits,Savings,_MSBV,Money Market,5000,,Online,,Variable,,0.90%,Bank Website
 2018-04-03,US,New York,ALLY,ALLY,USD,Bank,Deposits,Savings,_MSBV,Money Market,25000,,Online,,Variable,,1.00%,Bank Website
 2018-04-03,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,6MCDF,High Yield CDs_6 month,,5000,Online,6,Fixed,,1.50%,Bank Website
 2018-04-03,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,12MCDF,High Yield CDs_12 month,,5000,Online,12,Fixed,,1.75%,Bank Website
 2018-04-03,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,36MCDF,High Yield CDs_3 year,,5000,Online,36,Fixed,,1.85%,Bank Website
 2018-04-03,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,6MCDF,High Yield CDs_6 month,5000,24999,Online,6,Fixed,,1.60%,Bank Website
 2018-04-03,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,12MCDF,High Yield CDs_12 month,5000,24999,Online,12,Fixed,,1.85%,Bank Website
 2018-04-03,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,36MCDF,High Yield CDs_3 year,5000,24999,Online,36,Fixed,,2.00%,Bank Website
 2018-04-03,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,6MCDF,High Yield CDs_6 month,25000,,Online,6,Fixed,,1.75%,Bank Website
 2018-04-03,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,12MCDF,High Yield CDs_12 month,25000,,Online,12,Fixed,,2.00%,Bank Website
 2018-04-03,US,New York,ALLY,ALLY,USD,Bank,Deposits,CD,36MCDF,High Yield CDs_3 year,25000,,Online,36,Fixed,,2.10%,Bank Website
