Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term (Y),Interest_Type,Interest,APRC,Mortgage_Loan_Amt,Mortgage_Down_Payment,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Fixed_Rate_Term
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,_YMF,2 Year Fixed Rate,5000,Offline,,Variable,1.89%,4.2%,,40%,Existing Customers ,Primary Residence,Principal + Interest,2.0
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,_YMF,2 Year Fixed Rate,5000,Offline,,Variable,1.94%,4.2%,,30%,Existing Customers ,Primary Residence,Principal + Interest,2.0
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,_YMF,2 Year Fixed Rate,5000,Offline,,Variable,1.99%,4.2%,,25%,Existing Customers ,Primary Residence,Principal + Interest,2.0
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,_YMF,2 Year Fixed Rate,5000,Offline,,Variable,2.19%,4.3%,,20%,Existing Customers ,Primary Residence,Principal + Interest,2.0
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,_YMF,2 Year Fixed Rate,5000,Offline,,Variable,2.29%,4.4%,,15%,Existing Customers ,Primary Residence,Principal + Interest,2.0
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,_YMF,2 Year Fixed Rate,5000,Offline,,Variable,2.69%,4.5%,,10%,Existing Customers ,Primary Residence,Principal + Interest,2.0
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,_YMF,3 Year Fixed Rate,5000,Offline,,Variable,2.19%,4.0%,,40%,Existing Customers ,Primary Residence,Principal + Interest,3.0
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,_YMF,3 Year Fixed Rate,5000,Offline,,Variable,2.24%,4.0%,,30%,Existing Customers ,Primary Residence,Principal + Interest,3.0
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,_YMF,3 Year Fixed Rate,5000,Offline,,Variable,2.29%,4.1%,,25%,Existing Customers ,Primary Residence,Principal + Interest,3.0
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,_YMF,3 Year Fixed Rate,5000,Offline,,Variable,2.49%,4.2%,,20%,Existing Customers ,Primary Residence,Principal + Interest,3.0
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,_YMF,3 Year Fixed Rate,5000,Offline,,Variable,2.59%,4.3%,,15%,Existing Customers ,Primary Residence,Principal + Interest,3.0
 2018-04-03,UK,London,The Co-operative Bank,Private,GBP,Bank,Mortgages,Mortgages,_YMF,3 Year Fixed Rate,5000,Offline,,Variable,2.99%,4.4%,,10%,Existing Customers ,Primary Residence,Principal + Interest,3.0
