Date,Bank_Native_Country,State,Bank_Name,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term (Y),Interest_Type,Interest,APRC,Mortgage_Loan_Amt,Mortgage_Down_Payment,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Source
 2018-04-03,UK,London,HSBC,GBP,Bank,Mortgages,Mortgages,,BOE +0.89% for 2 years,,Offline,10,Fixed,1.39%,3.62%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Santander Bank,GBP,Bank,Mortgages,Mortgages,,Fixed 1.54% until 02/07/2020,,Offline,10,Fixed,1.54%,3.46%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,HSBC,GBP,Bank,Mortgages,Mortgages,,Fixed 1.54% until 31/05/2020,,Offline,10,Fixed,1.54%,3.64%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,TSB,GBP,Bank,Mortgages,Mortgages,,Fixed 1.59% until 30/06/2020,,Offline,10,Fixed,1.59%,3.7%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Halifax,GBP,Bank,Mortgages,Mortgages,,Fixed 1.62% until 30/06/2020,,Offline,10,Fixed,1.62%,3.71%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Virgin Money Plc.,GBP,Bank,Mortgages,Mortgages,,Fixed 1.71% until 01/07/2020,,Offline,10,Fixed,1.71%,4.37%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Virgin Money Plc.,GBP,Bank,Mortgages,Mortgages,,BOE +1.24% until 01/07/2020,,Offline,10,Fixed,1.74%,4.38%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,HSBC,GBP,Bank,Mortgages,Mortgages,,BOE +1.29% for 2 years,,Offline,10,Fixed,1.79%,3.68%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Virgin Money Plc.,GBP,Bank,Mortgages,Mortgages,,Fixed 1.84% until 01/07/2021,,Offline,10,Fixed,1.84%,4.2%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Santander Bank,GBP,Bank,Mortgages,Mortgages,,BOE +1.34% until 02/07/2020,,Offline,10,Fixed,1.84%,3.5%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,HSBC,GBP,Bank,Mortgages,Mortgages,,Fixed 1.84% until 31/05/2020,,Offline,10,Fixed,1.84%,3.69%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,NatWest,GBP,Bank,Mortgages,Mortgages,,Fixed 1.85% until 31/07/2020,,Offline,10,Fixed,1.85%,3.72%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Royal Bank Of Scotland,GBP,Bank,Mortgages,Mortgages,,Fixed 1.85% until 31/07/2020,,Offline,10,Fixed,1.85%,3.72%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,HSBC,GBP,Bank,Mortgages,Mortgages,,Fixed 1.89% until 31/05/2021,,Offline,10,Fixed,1.89%,3.56%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Santander Bank,GBP,Bank,Mortgages,Mortgages,,Fixed 1.94% until 02/07/2020,,Offline,10,Fixed,1.94%,3.47%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,HSBC,GBP,Bank,Mortgages,Mortgages,,Fixed 1.94% until 31/05/2020,,Offline,10,Fixed,1.94%,3.65%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Metro Bank,GBP,Bank,Mortgages,Mortgages,,Fixed 1.94% for 3 years,,Offline,10,Fixed,1.94%,3.63%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Metro Bank,GBP,Bank,Mortgages,Mortgages,,Fixed 1.94% for 2 years,,Offline,10,Fixed,1.94%,3.77%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Halifax,GBP,Bank,Mortgages,Mortgages,,Fixed 1.95% until 30/06/2021,,Offline,10,Fixed,1.95%,3.62%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Halifax,GBP,Bank,Mortgages,Mortgages,,BOE +1.47% until 30/06/2020,,Offline,10,Fixed,1.97%,3.76%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Metro Bank,GBP,Bank,Mortgages,Mortgages,,Fixed 1.99% for 5 years,,Offline,10,Fixed,1.99%,3.38%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Halifax,GBP,Bank,Mortgages,Mortgages,,Fixed 2.02% until 30/06/2020,,Offline,10,Fixed,2.02%,3.72%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Virgin Money Plc.,GBP,Bank,Mortgages,Mortgages,,Fixed 2.03% until 01/07/2020,,Offline,10,Fixed,2.03%,4.38%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,NatWest,GBP,Bank,Mortgages,Mortgages,,Fixed 2.04% until 31/07/2023,,Offline,10,Fixed,2.04%,3.36%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Royal Bank Of Scotland,GBP,Bank,Mortgages,Mortgages,,Fixed 2.04% until 31/07/2023,,Offline,10,Fixed,2.04%,3.36%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,Santander Bank,GBP,Bank,Mortgages,Mortgages,,Fixed 2.04% until 02/07/2023,,Offline,10,Fixed,2.04%,3.2%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
 2018-04-03,UK,London,HSBC,GBP,Bank,Mortgages,Mortgages,,Fixed 2.04% until 31/05/2023,,Offline,10,Fixed,2.04%,3.34%,72000,20%,New Purchase,Primary Residence,Principal + Interest,comparethemarket.com
