Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Minm_Balance,Maxm_Balance,Bank_Offer_Feature,Term_in_Months,Interest_Type,Interest,AER,Source
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Deposits,Savings,_MSBF,Instant Cash ISA,1,29999,Offline,,Fixed,0.55%,0.55%,Bank website
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Deposits,Savings,_MSBF,Instant Cash ISA,30000,99000,Offline,,Fixed,0.65%,0.65%,Bank website
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Deposits,Savings,_MSBF,Instant Cash ISA,100000,,Offline,,Fixed,0.75%,0.75%,Bank website
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Deposits,Savings,24MSBF,2-Year Flexible Cash ISA,1,1000000,Offline,24,Fixed,1.25%,1.25%,Bank website
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Deposits,Term Deposits,24MCDF,2-Year Flexible Bond,1,1000000,Offline,24,Fixed,1.00%,1.00%,Bank website
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Deposits,Term Deposits,12MCDF,1-Year Fixed-rate Bond,500,1000000,Offline,12,Fixed,0.90%,0.90%,Bank website
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Deposits,Current,_MCCF,Barclays Bank Account,,,Offline,,Fixed,,,Bank website
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Deposits,Current,_MCCF,Premier Current Accounts,,,Offline,,Fixed,,,Bank website
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Deposits,Savings,_MSBF,Everyday Saver,1,,Online,,Fixed,0.20%,0.20%,comparethemarket.com
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Deposits,Savings,24MSBF,2 Year Premier Flexible Cash ISA - Issue 4,1,1000000,Online,24,Fixed,1.40%,1.40%,comparethemarket.com
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Deposits,Savings,24MSBF,2 Year Flexible Cash ISA - Issue 17,1,1000000,Online,24,Fixed,1.25%,1.25%,comparethemarket.com
