Date,Bank_Native_Country,State,Bank_Name,Ticker,Bank_Local_Currency,Bank_Type,Bank_Product,Bank_Product_Type,Bank_Product_Code,Bank_Product_Name,Min_Loan_Amount,Bank_Offer_Feature,Term (Y),Interest_Type,Interest,APRC,Mortgage_Loan_Amt,Mortgage_Down_Payment,Mortgage_Category,Mortgage_Reason,Mortgage_Pymt_Mode,Fixed_Rate_Term,Source
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,15YMV,1 Year Fixed LTV <=60%,,Offline,15,Variable,3.00%,3.90%,360000,20%,New Purchase,Primary Residence,Principal + Interest,1,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,15YMV,2 Year Fixed LTV <=60%,,Offline,15,Variable,3.00%,3.80%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,15YMV,3 Year Fixed LTV <=60%,,Offline,15,Variable,3.00%,3.70%,360000,20%,New Purchase,Primary Residence,Principal + Interest,3,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,15YMV,5 Year Fixed LTV <=60%,,Offline,15,Variable,3.00%,3.60%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,15YMV,10 Year Fixed LTV <=60%,,Offline,15,Variable,3.30%,3.50%,360000,20%,New Purchase,Primary Residence,Principal + Interest,10,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,15YMV,Variable (LTV <=60%),,Offline,15,Variable,3.90%,4.00%,360000,20%,New Purchase,Primary Residence,Principal + Interest,,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,25YMV,1 Year Fixed LTV <=60%,,Offline,25,Variable,3.00%,3.90%,72000,20%,New Purchase,Primary Residence,Principal + Interest,1,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,25YMV,2 Year Fixed LTV <=60%,,Offline,25,Variable,3.00%,3.80%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,25YMV,3 Year Fixed LTV <=60%,,Offline,25,Variable,3.00%,3.70%,72000,20%,New Purchase,Primary Residence,Principal + Interest,3,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,25YMV,5 Year Fixed LTV <=60%,,Offline,25,Variable,3.00%,3.60%,72000,20%,New Purchase,Primary Residence,Principal + Interest,5,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,25YMV,10 Year Fixed LTV <=60%,,Offline,25,Variable,3.30%,3.50%,72000,20%,New Purchase,Primary Residence,Principal + Interest,10,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,25YMV,Variable (LTV <=60%),,Offline,25,Variable,3.90%,4.00%,72000,20%,New Purchase,Primary Residence,Principal + Interest,,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,25YMV,1 Year Fixed LTV <=60%,,Offline,25,Variable,3.00%,3.90%,216000,20%,New Purchase,Primary Residence,Principal + Interest,1,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,25YMV,2 Year Fixed LTV <=60%,,Offline,25,Variable,3.00%,3.80%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,25YMV,3 Year Fixed LTV <=60%,,Offline,25,Variable,3.00%,3.70%,216000,20%,New Purchase,Primary Residence,Principal + Interest,3,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,25YMV,5 Year Fixed LTV <=60%,,Offline,25,Variable,3.00%,3.60%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,25YMV,10 Year Fixed LTV <=60%,,Offline,25,Variable,3.30%,3.50%,216000,20%,New Purchase,Primary Residence,Principal + Interest,10,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,25YMV,Variable (LTV <=60%),,Offline,25,Variable,3.90%,4.00%,216000,20%,New Purchase,Primary Residence,Principal + Interest,,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,25YMV,1 Year Fixed LTV <=60%,,Offline,25,Variable,3.00%,3.90%,360000,20%,New Purchase,Primary Residence,Principal + Interest,1,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,25YMV,2 Year Fixed LTV <=60%,,Offline,25,Variable,3.00%,3.80%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,25YMV,3 Year Fixed LTV <=60%,,Offline,25,Variable,3.00%,3.70%,360000,20%,New Purchase,Primary Residence,Principal + Interest,3,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,25YMV,5 Year Fixed LTV <=60%,,Offline,25,Variable,3.00%,3.60%,360000,20%,New Purchase,Primary Residence,Principal + Interest,5,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,25YMV,10 Year Fixed LTV <=60%,,Offline,25,Variable,3.30%,3.50%,360000,20%,New Purchase,Primary Residence,Principal + Interest,10,Bank website
 2018-04-10,UK,London,Bank of Ireland,BIRG,GBP,Bank,Mortgages,Mortgages,25YMV,Variable (LTV <=60%),,Offline,25,Variable,3.90%,4.00%,360000,20%,New Purchase,Primary Residence,Principal + Interest,,Bank website
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,10YMV,2 Year Fixed,,Offline,10,Variable,1.50%,3.40%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank website
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,10YMV,5 Year Fixed,,Offline,10,Variable,2.10%,2.90%,72000,20%,New Purchase,Primary Residence,Principal + Interest,5,Bank website
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,10YMV,2 Year Fixed,,Offline,10,Variable,1.50%,3.20%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank website
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,10YMV,5 Year Fixed,,Offline,10,Variable,2.10%,2.70%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,Bank website
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,10YMV,2 Year Fixed,,Offline,10,Variable,1.50%,3.20%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank website
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,15YMV,2 Year Fixed,,Offline,15,Variable,1.50%,3.60%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank website
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,15YMV,5 Year Fixed,,Offline,15,Variable,2.10%,3.20%,72000,20%,New Purchase,Primary Residence,Principal + Interest,5,Bank website
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,15YMV,2 Year Fixed,,Offline,15,Variable,1.50%,3.50%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank website
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,15YMV,2 Year Fixed,,Offline,15,Variable,1.50%,3.40%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank website
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,20YMV,2 Year Fixed,,Offline,20,Variable,1.50%,3.70%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank website
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,20YMV,5 Year Fixed,,Offline,20,Variable,2.10%,3.30%,72000,20%,New Purchase,Primary Residence,Principal + Interest,5,Bank website
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,20YMV,2 Year Fixed,,Offline,20,Variable,1.50%,3.60%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank website
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,20YMV,5 Year Fixed,,Offline,20,Variable,2.10%,3.20%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,Bank website
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,20YMV,2 Year Fixed,,Offline,20,Variable,1.50%,3.60%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank website
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,30YMV,2 Year Fixed,,Offline,30,Variable,1.50%,3.80%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank website
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,30YMV,5 Year Fixed,,Offline,30,Variable,2.10%,3.50%,72000,20%,New Purchase,Primary Residence,Principal + Interest,5,Bank website
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,30YMV,2 Year Fixed,,Offline,30,Variable,1.50%,3.70%,216000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank website
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,30YMV,5 Year Fixed,,Offline,30,Variable,2.10%,3.40%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,Bank website
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,30YMV,2 Year Fixed,,Offline,30,Variable,1.50%,3.70%,360000,20%,New Purchase,Primary Residence,Principal + Interest,2,Bank website
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 2.1% until 30/04/2023,,Offline,10,Variable,2.10%,3.47%,72000,20%,New Purchase,Primary Residence,Principal + Interest,5,comparethemarket.com
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 2.19% until 30/04/2021,,Offline,10,Variable,2.19%,3.69%,72000,20%,New Purchase,Primary Residence,Principal + Interest,3,comparethemarket.com
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 2.19% until 30/04/2021,,Offline,10,Variable,2.19%,3.73%,72000,20%,New Purchase,Primary Residence,Principal + Interest,3,comparethemarket.com
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 2.35% until 30/04/2023,,Offline,10,Variable,2.35%,3.52%,72000,20%,New Purchase,Primary Residence,Principal + Interest,5,comparethemarket.com
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 2.39% until 30/04/2023,,Offline,10,Variable,2.39%,3.52%,72000,20%,New Purchase,Primary Residence,Principal + Interest,5,comparethemarket.com
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 2.39% until 30/04/2021,,Offline,10,Variable,2.39%,3.73%,72000,20%,New Purchase,Primary Residence,Principal + Interest,3,comparethemarket.com
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 2.44% until 30/04/2023,,Offline,10,Variable,2.44%,3.58%,72000,20%,New Purchase,Primary Residence,Principal + Interest,5,comparethemarket.com
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 2.79% until 30/04/2023,,Offline,10,Variable,2.79%,3.65%,72000,20%,New Purchase,Primary Residence,Principal + Interest,5,comparethemarket.com
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 2.89% until 30/04/2028,,Offline,10,Fixed,2.89%,3.43%,72000,20%,New Purchase,Primary Residence,Principal + Interest,10,comparethemarket.com
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 3.64% until 30/04/2020,,Offline,10,Variable,3.64%,4.05%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2,comparethemarket.com
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 3.84% until 30/04/2020,,Offline,10,Variable,3.84%,4.02%,72000,20%,New Purchase,Primary Residence,Principal + Interest,2,comparethemarket.com
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 4.24% until 30/04/2023,,Offline,10,Variable,4.24%,4.15%,72000,20%,New Purchase,Primary Residence,Principal + Interest,5,comparethemarket.com
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 4.74% until 30/04/2023,,Offline,10,Variable,4.74%,4.29%,72000,20%,New Purchase,Primary Residence,Principal + Interest,5,comparethemarket.com
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 2.1% until 30/04/2023,,Offline,10,Variable,2.10%,3.47%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,comparethemarket.com
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 2.19% until 30/04/2021,,Offline,10,Variable,2.19%,3.69%,216000,20%,New Purchase,Primary Residence,Principal + Interest,3,comparethemarket.com
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 2.19% until 30/04/2021,,Offline,10,Variable,2.19%,3.73%,216000,20%,New Purchase,Primary Residence,Principal + Interest,3,comparethemarket.com
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 2.35% until 30/04/2023,,Offline,10,Variable,2.35%,3.52%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,comparethemarket.com
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 2.39% until 30/04/2023,,Offline,10,Variable,2.39%,3.52%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,comparethemarket.com
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 2.39% until 30/04/2021,,Offline,10,Variable,2.39%,3.73%,216000,20%,New Purchase,Primary Residence,Principal + Interest,3,comparethemarket.com
 2018-04-10,UK,London,Barclays,BARC,GBP,Bank,Mortgages,Mortgages,10YMF,Fixed 2.44% until 30/04/2023,,Offline,10,Variable,2.44%,3.58%,216000,20%,New Purchase,Primary Residence,Principal + Interest,5,comparethemarket.com
